language,sentence1,sentence2,pairID
ur,وہ ابھی بھی وہاں تھی,"Hamain laga ke wo chali gi, lykin wo phir bhi yaheen thi",147
ur,مجھے اس میں سے بھی جانے دو.,مجھے اس سے نمٹنے کی ضرورت نہیں ہے۔,151
ur,مجھے اس میں سے بھی جانے دو.,میں اس کو دیکھوں گا۔,152
ur,مجھے اس میں سے بھی جانے دو.,میں ان رپورٹوں کو دیکھوں گا۔,153
ur,لیکن اچانک، ہمیں بلایا گیا تھا کہ کیا دیکھ رہا تھا.,ہمیں اڑتے ہوئے طیارے کو دیکھنے کی ضرورت تھی۔,157
ur,لیکن اچانک، ہمیں بلایا گیا تھا کہ کیا دیکھ رہا تھا.,کیا چیز اڑ رہی ہے ہمیں اس چیز کو دیکھنا تھا۔,158
ur,لیکن اچانک، ہمیں بلایا گیا تھا کہ کیا دیکھ رہا تھا.,ہمیں بتایا گیا تھا کہ باہر نہیں دیکھنا۔,159
ur,اس نے کاغذ کو پھاڑ کر اسے ریت میں ڈال دیا، اسکرین ریت، اسے آگ لگائے اور اسے جلا دے، اور پھر اس طرح کی چپکے ہلائیں,وہ آگ لگانے سے بہت زیادہ خوفزدہ تھا تو اس نے اس کو فلش میں پھینک دیا.,160
ur,اس نے کاغذ کو پھاڑ کر اسے ریت میں ڈال دیا، اسکرین ریت، اسے آگ لگائے اور اسے جلا دے، اور پھر اس طرح کی چپکے ہلائیں,.وہ کاغذ جلا دے گا,161
ur,اس نے کاغذ کو پھاڑ کر اسے ریت میں ڈال دیا، اسکرین ریت، اسے آگ لگائے اور اسے جلا دے، اور پھر اس طرح کی چپکے ہلائیں,وہ کاغذ پر اپنا ایک خواب لجھے گا اور پھر اسے جلا دے گا,162
ur,آپ کو کونکورڈ میں رامونا کو کال کرنے کی ضرورت ہے، ذہین میں رکھیں کے وہ دفتر میں ہے، دراصل وہ کلائنٹ میں ہے، شہر کے بکل دوسری طرف، ہم مونرو میں ہیں، وہ کونکورڈ میں ہے.,رومانہ ساری زندگی کونکورڈ میں رہی ہے۔,169
ur,آپ کو کونکورڈ میں رامونا کو کال کرنے کی ضرورت ہے، ذہین میں رکھیں کے وہ دفتر میں ہے، دراصل وہ کلائنٹ میں ہے، شہر کے بکل دوسری طرف، ہم مونرو میں ہیں، وہ کونکورڈ میں ہے.,رامونا کبھی کنکارڈ نہیں گئی۔,170
ur,آپ کو کونکورڈ میں رامونا کو کال کرنے کی ضرورت ہے، ذہین میں رکھیں کے وہ دفتر میں ہے، دراصل وہ کلائنٹ میں ہے، شہر کے بکل دوسری طرف، ہم مونرو میں ہیں، وہ کونکورڈ میں ہے.,رمونا مقام کنکورڈ میں واقع ہے۔,171
ur,اس طرح میں خاص سرگرمیوں میں اپنے کیریئر کے تقریبا 16 سال میں، میں نے خرچ کیا.,میں کچھ سالوں سے کچھ خاص سرگرمیوں میں تھا/تھی۔,172
ur,اس طرح میں خاص سرگرمیوں میں اپنے کیریئر کے تقریبا 16 سال میں، میں نے خرچ کیا.,مجھے   کبھی نوکری   نہیں  ملی۔,173
ur,اس طرح میں خاص سرگرمیوں میں اپنے کیریئر کے تقریبا 16 سال میں، میں نے خرچ کیا.,میری پسندیدہ نوکری خصوصی سرگرمیوں میں تھی۔,174
ur,شاءد اس لۂے مجھے یاد ہے,مجھے یہ بالکل بھی یاد نہیں ہے۔,187
ur,شاءد اس لۂے مجھے یاد ہے,شاید یہی وجہ ہے کہ میں نے اس کا نام یاد رکھا,188
ur,شاءد اس لۂے مجھے یاد ہے,shaid issy ki wajah se ye mjhey yaad aya.,189
ur,اور یہ آپ کو بہت برا محسوس کرواتا ہے.,اس سے آپ اچھا محسوس کرتے ہیں۔,190
ur,اور یہ آپ کو بہت برا محسوس کرواتا ہے.,یہ تم کو دہشت زدہ کردیتا ہے۔,191
ur,اور یہ آپ کو بہت برا محسوس کرواتا ہے.,آپ ایک گھںٹہ کے بعد بہتر محسوس کرتے/کرتی ہیں۔,192
ur,تمہیں وہاں رہنے کی ضرورت نہیں ہے.,اگر آپ  گھر جانا چاہتے ہیں تو جاسکتے ہیں۔,193
ur,تمہیں وہاں رہنے کی ضرورت نہیں ہے.,تم جا سکتے ہو,194
ur,تمہیں وہاں رہنے کی ضرورت نہیں ہے.,آپ کو بالکل اسی جگہ ٹھہرنے کی ضرورت ہے!,195
ur,یہ تھا، یہ ایک خوبصورت دن تھا,آج ایک آرام دہ دن تھا,220
ur,یہ تھا، یہ ایک خوبصورت دن تھا,وہ وقت بہت خوفناک تھا جب طوفان شہر میں آیا۔,221
ur,یہ تھا، یہ ایک خوبصورت دن تھا,اس دن نے واقعی مجھے ڈرا دیا۔,222
ur,"اوہ، ٹھیک ہے يہ، ہے،جب تک ہم بیرون ملک تعینات نہیں کیے جائیں گے تو  رفتار، تیز,تیزاور تیز  ہوجائے گی.",اس میں مزید تیزی آتی گئی۔,223
ur,"اوہ، ٹھیک ہے يہ، ہے،جب تک ہم بیرون ملک تعینات نہیں کیے جائیں گے تو  رفتار، تیز,تیزاور تیز  ہوجائے گی.",aisa lag raha tha k ye hmaisha k liye hai.,224
ur,"اوہ، ٹھیک ہے يہ، ہے،جب تک ہم بیرون ملک تعینات نہیں کیے جائیں گے تو  رفتار، تیز,تیزاور تیز  ہوجائے گی.",رفتار مجھے نروس کر رہی تھی۔,225
ur,تو میں، اچھا خیر، تین، دو ہواباز ہیں جو کہ صدر کینیڈی کے واشنگٹن والے دفتر میں جرنیل مئ کے ساتھ ہیں ۔,اعلی افسر مۂي اور پاۂلٹ کو آفس دیکھنے میں مذہ آیا,226
ur,تو میں، اچھا خیر، تین، دو ہواباز ہیں جو کہ صدر کینیڈی کے واشنگٹن والے دفتر میں جرنیل مئ کے ساتھ ہیں ۔,جنرل مے کبھی صدر کینیڈی کے دفتر نہیں گئے.,227
ur,تو میں، اچھا خیر، تین، دو ہواباز ہیں جو کہ صدر کینیڈی کے واشنگٹن والے دفتر میں جرنیل مئ کے ساتھ ہیں ۔,یہ جنرل مے اور تین یو 2 پائلٹس ہیں صدر کینیڈی کے دفتر میں.,228
ur,"آپ کو مجھے سپانکنگ  کرنے سے پہلے,آپ نے پہلے ہی مجھے چاکلیٹ دودھ کا پہلا بڑا گلاس کیوں نہیں دیا ہے؟",میں دودھ نہیں پی سکتا.,229
ur,"آپ کو مجھے سپانکنگ  کرنے سے پہلے,آپ نے پہلے ہی مجھے چاکلیٹ دودھ کا پہلا بڑا گلاس کیوں نہیں دیا ہے؟",Mujhe aik glass chocolate ka doodh chahiye,230
ur,"آپ کو مجھے سپانکنگ  کرنے سے پہلے,آپ نے پہلے ہی مجھے چاکلیٹ دودھ کا پہلا بڑا گلاس کیوں نہیں دیا ہے؟",میں کچھ چاکلیٹ دودھ پینا اور آرام کرنا پسند کروں گا/گی کیوں کہ مجھے معلوم ہے میں نے گڑبڑ کردیا ہے۔,231
ur,اور پھر ایک بار جب آپ سب کچھ داخل آپ حاصل کر سکتے ہیں تو آپ وہاں سے آگے بڑھ سکتے ہیں.,ہر چیز میں داخل کرنے کے بعد آپ جاری کر سکتے ہیں.,232
ur,اور پھر ایک بار جب آپ سب کچھ داخل آپ حاصل کر سکتے ہیں تو آپ وہاں سے آگے بڑھ سکتے ہیں.,ڈیٹا بیس میں معلومات داخل کرنے کے بعد آپ جاری کر سکتے ہیں,233
ur,اور پھر ایک بار جب آپ سب کچھ داخل آپ حاصل کر سکتے ہیں تو آپ وہاں سے آگے بڑھ سکتے ہیں.,تمہیں ابھی روکنا چاہئے,234
ur,پر ہاں، اس کے بارے میں سوچیں.,mein iss k barey mein aksar sochta hun.,250
ur,پر ہاں، اس کے بارے میں سوچیں.,ye aisa kuch nahi ji k barey mein ap soch skein.,251
ur,پر ہاں، اس کے بارے میں سوچیں.,یہ ایک قابل غور بات ہے۔,252
ur,وہ جو کو اپنے ساتھ لے کر چلے گۂے ، نانی نے کہا سب اس کو یاد کر کے اداس تھے ، وہ نہیں جانتے تھے کہ کیا کرنا چاھۂے,Her aik ka mood off tha kuch ke sab ko wo sab Joe ko boht yaad kar rehe the.,265
ur,وہ جو کو اپنے ساتھ لے کر چلے گۂے ، نانی نے کہا سب اس کو یاد کر کے اداس تھے ، وہ نہیں جانتے تھے کہ کیا کرنا چاھۂے,ہر شخص بہت خوش تھا۔,266
ur,وہ جو کو اپنے ساتھ لے کر چلے گۂے ، نانی نے کہا سب اس کو یاد کر کے اداس تھے ، وہ نہیں جانتے تھے کہ کیا کرنا چاھۂے,جوائے کا انتقال ہوگیا یہ واقعی صدمہ کی بات ہے۔,267
ur,اہم حصہ یہ تھا کہ، اس کے 158 حصے تھے اور ہمیں اسے توڑنا تھا دوبارہ جوڑنا پھر توڑنا تھا بغیر کسی غلطی کے.,ہمیں اسے الگ الگ کرنا تھا اور پھر دوبارہ اکٹھا کرنا تھا.,280
ur,اہم حصہ یہ تھا کہ، اس کے 158 حصے تھے اور ہمیں اسے توڑنا تھا دوبارہ جوڑنا پھر توڑنا تھا بغیر کسی غلطی کے.,ہم کو ٹونٹیوں کو علیحدہ کرنا پڑا اور اس کے بعد واپس ایک ساتھ رکھنا پڑا۔,281
ur,اہم حصہ یہ تھا کہ، اس کے 158 حصے تھے اور ہمیں اسے توڑنا تھا دوبارہ جوڑنا پھر توڑنا تھا بغیر کسی غلطی کے.,ہمیں اس کو بالکل بھی چھونے کی اجازت نہیں تھی۔,282
ur,میں تیسرے ایس ایس میں نہیں جانا چاہتا یہ تیسرا اسٹریٹجک سپورٹ سکواڈران ہے.,تیسرے ایس ایس میں جانے کے لیے میں انتظار نہیں کر سکتا تھا/سکتی تھی۔,286
ur,میں تیسرے ایس ایس میں نہیں جانا چاہتا یہ تیسرا اسٹریٹجک سپورٹ سکواڈران ہے.,میں تیسری ایس ایس کا حصہ نہیں بننا چاہتا.,287
ur,میں تیسرے ایس ایس میں نہیں جانا چاہتا یہ تیسرا اسٹریٹجک سپورٹ سکواڈران ہے.,تیسری ایس ایس سب سے بدترین ممکن تنظیم (سکویڈران) ہے۔,288
ur,اور کچھ نہیں ، ریگستان تھا ، رن وے پر سرف جھاڑی نظر آں رہے تھے ۔,یہ منطقہ حارہ کے جنگلات تھے۔,289
ur,اور کچھ نہیں ، ریگستان تھا ، رن وے پر سرف جھاڑی نظر آں رہے تھے ۔,اس علاقہ میں بہت ساری ٹھنٹھ والی پتیاں تھیں۔,290
ur,اور کچھ نہیں ، ریگستان تھا ، رن وے پر سرف جھاڑی نظر آں رہے تھے ۔,پورے رن وے پر جھاڑی دار یوروپی پودے اڑ رہے تھے۔,291
ur,انہوں نے پھر کوۂی وقت نہیں بتتایا ، اور میں یہاں پریشان بیٹھی ہوں کیونکہ میں نہیں جانتی کے ان کو کب ضرورت ہوگی,مجھے فکر لاحق ہوگئی کیوں کہ مجھے معلوم نہیں تھا کہ کس وقت۔,316
ur,انہوں نے پھر کوۂی وقت نہیں بتتایا ، اور میں یہاں پریشان بیٹھی ہوں کیونکہ میں نہیں جانتی کے ان کو کب ضرورت ہوگی,میں فکر مند تھا کہ یہ شو مجھ سے چھوٹ جائے گا کیونکہ مجھے پتہ نہیں تھا کہ یہ کس وقت ہوگا۔,317
ur,انہوں نے پھر کوۂی وقت نہیں بتتایا ، اور میں یہاں پریشان بیٹھی ہوں کیونکہ میں نہیں جانتی کے ان کو کب ضرورت ہوگی,میں بالکل بھی فکر مند نہیں تھا‏، یہ جب ہونا ہوگا تب ہو جائے گا۔,318
ur,اس کا تعلق یونان سے ہے اور وہ یونان کے ایک چھوٹے سے گاؤں سے تعلق رکھتا ہے جس کا نام ٹوکل لیکا ہے اور وہ امریکا آیا تھا اور میرا خیال ہے یہ 1969 یا 1970 تھا اور اس کے تھوڑی دیر بعد اس نے شادی کر لی.,وہ ایک یونانی شخص ہے جو انگریزی نہیں جانتا۔,325
ur,اس کا تعلق یونان سے ہے اور وہ یونان کے ایک چھوٹے سے گاؤں سے تعلق رکھتا ہے جس کا نام ٹوکل لیکا ہے اور وہ امریکا آیا تھا اور میرا خیال ہے یہ 1969 یا 1970 تھا اور اس کے تھوڑی دیر بعد اس نے شادی کر لی.,وہ ایک یونانی شخص ہے۔,326
ur,اس کا تعلق یونان سے ہے اور وہ یونان کے ایک چھوٹے سے گاؤں سے تعلق رکھتا ہے جس کا نام ٹوکل لیکا ہے اور وہ امریکا آیا تھا اور میرا خیال ہے یہ 1969 یا 1970 تھا اور اس کے تھوڑی دیر بعد اس نے شادی کر لی.,وہ آئرلینڈ کا رہنے والا ہے۔,327
ur,تو میں نے ریمونہ کو فون کیا کیونکہ مجھے کچھ پوچھنا تھا، میں نے کہا چلو جلدی سے پوچھتی ہوں ، مجھے اپنے کام کے بارے میں ایک سوال ہے۔,میں نے رومانہ کو کال کرنے کی زحمت نہیں کی.,328
ur,تو میں نے ریمونہ کو فون کیا کیونکہ مجھے کچھ پوچھنا تھا، میں نے کہا چلو جلدی سے پوچھتی ہوں ، مجھے اپنے کام کے بارے میں ایک سوال ہے۔,مجھ کو یہ سوال کرنے کا کبھی بھی موقع نہیں ملا۔,329
ur,تو میں نے ریمونہ کو فون کیا کیونکہ مجھے کچھ پوچھنا تھا، میں نے کہا چلو جلدی سے پوچھتی ہوں ، مجھے اپنے کام کے بارے میں ایک سوال ہے۔,میں رامونا سے ایک سوال کرنا چاہتا/چاہتی ہوں۔,330
ur,اس طرح کی چھوٹی چیزیں جو میں کرنے کی کوشش کر رہا تھا اس میں ایک بڑا فرق بن گیا.,میں نے ایسا کرنے کی کوشش  بھی نہیں کی۔,346
ur,اس طرح کی چھوٹی چیزیں جو میں کرنے کی کوشش کر رہا تھا اس میں ایک بڑا فرق بن گیا.,میں کچھ حاصل کرنے کی کوشش کررہا تھا۔,347
ur,اس طرح کی چھوٹی چیزیں جو میں کرنے کی کوشش کر رہا تھا اس میں ایک بڑا فرق بن گیا.,میں کلاس کے لیے اپنے پوسٹر کو ختم کرنے والا تھا کہ نئے مارکر نے میری مدد کی۔,348
ur,ميری مدد کرنے کے لۂے کوۂی نہیں ہے۔,میں خود سے ایسا نہیں کرسکتا۔,349
ur,ميری مدد کرنے کے لۂے کوۂی نہیں ہے۔,Wahan per kafi log madad karne wale hain.,350
ur,ميری مدد کرنے کے لۂے کوۂی نہیں ہے۔,اس جگہ میری مدد کرنے کے لیے کوئی بھی موجود نہیں ہے۔,351
ur,سی آئی اے نے اس فلم کو بے نقاب کیا، اگلے دن ان کو اقوام متحدہ میں لے گئے.,سی آئی اے اس فلم کو اقوام متحدہ لے آئی۔,361
ur,سی آئی اے نے اس فلم کو بے نقاب کیا، اگلے دن ان کو اقوام متحدہ میں لے گئے.,سی آئی اے نے وہ فلم اپنے لئے رکھ لی۔,362
ur,سی آئی اے نے اس فلم کو بے نقاب کیا، اگلے دن ان کو اقوام متحدہ میں لے گئے.,سی آئی اے نے سوچا کہ اقوام متحدہ کو فلم کو ابھی دیکھنے کی ضرورت ہے,363
ur,میں نے اس کو بتا دیا تھا، سمجھانے کی کوشش کی تھی کہ ساری معلومات نہ ہونے کی وجع سے مایوس تھی۔,میں نے اسے بتایا کہ میں کچھ اور نہیں سننا چاہتا تھا,364
ur,میں نے اس کو بتا دیا تھا، سمجھانے کی کوشش کی تھی کہ ساری معلومات نہ ہونے کی وجع سے مایوس تھی۔,میں نے اس سے کہا کہ مجھ کو مزید معلومات کی ضرورت تھی اس بات کو جاننے کے لیے کہ اس نوکری کا کیا کروں؟,365
ur,میں نے اس کو بتا دیا تھا، سمجھانے کی کوشش کی تھی کہ ساری معلومات نہ ہونے کی وجع سے مایوس تھی۔,میں نے اسے بتایا کہ مجھے مزید معلومات کی ضرورت ہے۔,366
