translated_sentence1	translated_sentence2	pairID
I was the only one who ever allowed the regulators to run for the test in the miniature height chambers.	I didn’t find it good to be the only one who serves the regulators for the tests.	43
I was the only one who ever allowed the regulators to run for the test in the miniature height chambers.	Experiments were carried out in the miniature height chambers.	44
I was the only one who ever allowed the regulators to run for the test in the miniature height chambers.	Some of us have served the test regulators.	45
I am ah, Chief Master Sergeant, in retirement, as Rick said.	I am still working, until today.	46
I am ah, Chief Master Sergeant, in retirement, as Rick said.	I retired in 2002.	47
I am ah, Chief Master Sergeant, in retirement, as Rick said.	Rick told you I was retired.	48
There are some cash flow projections on my desk and, oh, it’s for so and so Cutty, that’s the name of the customer.	The customer named Cutty earns $10,000 per month.	52
There are some cash flow projections on my desk and, oh, it’s for so and so Cutty, that’s the name of the customer.	There is a client named Cutty.	53
There are some cash flow projections on my desk and, oh, it’s for so and so Cutty, that’s the name of the customer.	We have no customers named Cutty.	54
The girl who can help me is on the other side of the city.	The girl I need help lives in some distance.	55
The girl who can help me is on the other side of the city.	The girl who will help me is 5 miles away.	56
The girl who can help me is on the other side of the city.	There is no one who can help me.	57
But they were divided about who the field hands were and who the households were, it was somehow...	Everyone agreed that they would all work on the fields.	61
But they were divided about who the field hands were and who the households were, it was somehow...	They could not agree on who came out and who belonged to the house.	62
But they were divided about who the field hands were and who the households were, it was somehow...	They could not agree who should work in the cotton field and who should wash the soil.	63
Today he talks to us about the Third SS, the U2 Quick and the Blackbird.	He decided not to talk anymore.	67
Today he talks to us about the Third SS, the U2 Quick and the Blackbird.	It is about three different submarines.	68
Today he talks to us about the Third SS, the U2 Quick and the Blackbird.	He talks about three things.	69
I think they only had about five children, one died.	All their children survived.	70
I think they only had about five children, one died.	One of the five children died.	71
I think they only had about five children, one died.	The child who died was born sick.	72
And of course Androv Gromikov has nothing answered, but we had all the information about the films that U2 had made.	The U2 has done a lot.	73
And of course Androv Gromikov has nothing answered, but we had all the information about the films that U2 had made.	The U2 captured a lot of film material under water.	74
And of course Androv Gromikov has nothing answered, but we had all the information about the films that U2 had made.	We had no recordings, so we just had to advise.	75
She said that only tears came out of her eyes and she said, then she said, Joe came to the veranda.	When she told him he had to come to the veranda, she had tears in her eyes.	76
She said that only tears came out of her eyes and she said, then she said, Joe came to the veranda.	She quickly washed away her tears after she threw Joe out of the veranda.	77
She said that only tears came out of her eyes and she said, then she said, Joe came to the veranda.	She was so happy to see Joe that she started crying.	78
Even if the aircraft burned, why would it burn, oh, and it would mix through a blinking component so that the radiation would get out.	Radiation can also be inhibited in the event of a fire.	79
Even if the aircraft burned, why would it burn, oh, and it would mix through a blinking component so that the radiation would get out.	The radiation would be out of a blink component after the aircraft is burned.	80
Even if the aircraft burned, why would it burn, oh, and it would mix through a blinking component so that the radiation would get out.	The radiation would not disappear during a fire.	81
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The head of the U.S. Air Force has retired.	88
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The manager has only resigned a few weeks ago.	89
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The U.S. Air Force Chief just started his career this week.	90
Now it came to the point that two or three aircraft arrived a week and I didn’t know where they were flying.	More than one aircraft arrives every week.	91
Now it came to the point that two or three aircraft arrived a week and I didn’t know where they were flying.	Air traffic is problematic	92
Now it came to the point that two or three aircraft arrived a week and I didn’t know where they were flying.	There are never aircraft.	93
They had already completed their training in the full printing trains and I took a while to pull the full printing trains.	It takes up to three months to complete a training on the use of a full-pressed train.	94
They had already completed their training in the full printing trains and I took a while to pull the full printing trains.	Training of using a full-pressed train takes time.	95
They had already completed their training in the full printing trains and I took a while to pull the full printing trains.	We could teach you before the end of the day to use a complete printing truck.	96
I want to say that there was no danger to go into the air with the bomb because it would not explode, no matter how hard it hit on the ground.	The bomb was deactivated by the pilot.	106
I want to say that there was no danger to go into the air with the bomb because it would not explode, no matter how hard it hit on the ground.	The bomb had no chance to explode.	107
I want to say that there was no danger to go into the air with the bomb because it would not explode, no matter how hard it hit on the ground.	There was a great danger that the bomb exploded.	108
And what it would be, it looks exactly like what I’m trying to do.	I am not sure what it looks like for you.	109
And what it would be, it looks exactly like what I’m trying to do.	I try to do that obviously.	110
And what it would be, it looks exactly like what I’m trying to do.	I will try to finish my project next week.	111
However, the animals are constantly running away from it, especially the cows.	The cows are broken out of the shell every day.	112
However, the animals are constantly running away from it, especially the cows.	The cows often escaped.	113
However, the animals are constantly running away from it, especially the cows.	The cows were kept safe and protected.	114
The doors were closed when he entered.	All the doors were open.	118
The doors were closed when he entered.	We had the keys.	119
The doors were closed when he entered.	We gave us entrance, although the doors were closed.	120
So, I just had to take the amounts and try to do so.	I am confident that the sum is everything I need to find out.	127
So, I just had to take the amounts and try to do so.	I don’t know what I can do with the amounts, please give me more details to understand this chaos.	128
So, I just had to take the amounts and try to do so.	I will calculate it based on the total amounts.	129
He came, he opened the door and I remember I looked back and saw the expression on his face, and I knew he was disappointed.	He was so excited and so glad that he had almost pressed the door out of the frame.	130
He came, he opened the door and I remember I looked back and saw the expression on his face, and I knew he was disappointed.	He tried not to let us feel guilty, but we knew we had made him trouble.	131
He came, he opened the door and I remember I looked back and saw the expression on his face, and I knew he was disappointed.	Only at the expression in his face when he came through the door, I realized that he was disappointed.	132
So, I don’t have any specific stories.	I don’t have a special store.	133
So, I don’t have any specific stories.	I have one particular store.	134
So, I don’t have any specific stories.	There are a lot of.	135
And so it was, he never really had to do anything for himself.	He gets a lot of help.	142
And so it was, he never really had to do anything for himself.	He gets help with his meals and clothes.	143
And so it was, he never really had to do anything for himself.	He is very independent.	144
Oh my God and Ramona have been there.	Ramona was gathered on the ground.	148
Oh my God and Ramona have been there.	Ramona was silent.	149
Oh my God and Ramona have been there.	Ramona was standing while I was there with admiration.	150
And the fact is that she was light!	She ate too much but still kept her weight.	154
And the fact is that she was light!	She didn’t woke much at all.	155
And the fact is that she was light!	She was very happy.	156
I don’t know if he was in August.	He also lived after the attacks in Augusta.	163
I don’t know if he was in August.	He lived in Augusta.	164
I don’t know if he was in August.	He immediately left Augusta.	165
In everything we did, they never told us where they went, not even when they left the base to stay elsewhere for a while.	I never asked where they went.	166
In everything we did, they never told us where they went, not even when they left the base to stay elsewhere for a while.	They always let us know where they were and where they went.	167
In everything we did, they never told us where they went, not even when they left the base to stay elsewhere for a while.	They never told us where they went.	168
They said, We will pay for a place so that you may stay.	You will pay for nothing in advance.	175
They said, We will pay for a place so that you may stay.	They pay for me and my brothers accommodation.	176
They said, We will pay for a place so that you may stay.	You pay for the accommodation.	177
Well, the next day, of course, President Kennedy blocked Cuba and, oh, our ships stopped a Russian ship that was traveling outside of Cuba, and they found missiles on it.	Kennedy ordered our troops to search for missiles.	178
Well, the next day, of course, President Kennedy blocked Cuba and, oh, our ships stopped a Russian ship that was traveling outside of Cuba, and they found missiles on it.	They didn’t stop ships because they didn’t want any conflict.	179
Well, the next day, of course, President Kennedy blocked Cuba and, oh, our ships stopped a Russian ship that was traveling outside of Cuba, and they found missiles on it.	They found 20 missiles on the ship.	180
In any case, the man comes in.	The man entered the court.	181
In any case, the man comes in.	The man entered the room.	182
In any case, the man comes in.	The man ran in the other direction.	183
Oh, my grandparents were always very, very loving people and some of my parents were so, and we just had a great time there below.	The journey to the house of my grandparents took a long time.	184
Oh, my grandparents were always very, very loving people and some of my parents were so, and we just had a great time there below.	My grandparents were a very loving couple.	185
Oh, my grandparents were always very, very loving people and some of my parents were so, and we just had a great time there below.	My grandparents were always very angry and we never liked going to their house.	186
I didn’t have time to get into everything possible.	I could have entered it later.	196
I didn’t have time to get into everything possible.	I entered it all in time.	197
I didn’t have time to get into everything possible.	I didn’t have time to put it all in.	198
And hmm, one of my tasks at the time was to teach individuals how they put fallscreen on the drivers of nuclear weapons so hmm, which causes the atomic bomb to explode.	The atomic bomb has no trigger.	199
And hmm, one of my tasks at the time was to teach individuals how they put fallscreen on the drivers of nuclear weapons so hmm, which causes the atomic bomb to explode.	The thief burns the bomb when he is pulled.	200
And hmm, one of my tasks at the time was to teach individuals how they put fallscreen on the drivers of nuclear weapons so hmm, which causes the atomic bomb to explode.	You just need a winizges little power to pull around the trigger of the atomic bomb to.	201
My grandmother told me a lot of different stories about her growing years and, oh, especially, oh, she talked about her family and how it was then.	I always loved to hear the stories of my grandmother.	202
My grandmother told me a lot of different stories about her growing years and, oh, especially, oh, she talked about her family and how it was then.	My grandmother has always refused to talk about her childhood.	203
My grandmother told me a lot of different stories about her growing years and, oh, especially, oh, she talked about her family and how it was then.	My grandmother told me a lot of things about her family from the time she grew up.	204
We were wearing printed tracks in the aircraft, just as astronauts were wearing it, we were perfectly silver-colored, silver-colored of shoes and everything to naturally throw the heat back.	Our trails were nothing similar to what the astronauts had.	205
We were wearing printed tracks in the aircraft, just as astronauts were wearing it, we were perfectly silver-colored, silver-colored of shoes and everything to naturally throw the heat back.	Our slopes were the same as with astronauts, except to reflect heat were our silver.	206
We were wearing printed tracks in the aircraft, just as astronauts were wearing it, we were perfectly silver-colored, silver-colored of shoes and everything to naturally throw the heat back.	You can get the boxes in any desired color.	207
And he was, my grandfather was not a nice man.	My grandfather was a fool.	208
And he was, my grandfather was not a nice man.	My grandfather was very racist and strange.	209
And he was, my grandfather was not a nice man.	My grandfather was the most beautiful man you’ll ever meet.	210
There are 30 or 40 U2 aircraft and we have begun to train Chinese and British pilots, practically pilots of allies around the world, in them.	We did not train with anyone.	211
There are 30 or 40 U2 aircraft and we have begun to train Chinese and British pilots, practically pilots of allies around the world, in them.	We trained with the bridges for 5 weeks.	212
There are 30 or 40 U2 aircraft and we have begun to train Chinese and British pilots, practically pilots of allies around the world, in them.	We trained with a lot of other soldiers.	213
So, it’s like, Ok, look at it in that and the company	She didn’t talk to me.	214
So, it’s like, Ok, look at it in that and the company	She told me I had to search for something.	215
So, it’s like, Ok, look at it in that and the company	She told me I should look at her financial statements.	216
He said they went to the north.	He said he had made a few interruptions.	217
He said they went to the north.	He said they went to the south.	218
He said they went to the north.	He said they went to the north.	219
Well, honestly, I have never read any of the books I should read.	I have not read books that are longer than 100 pages.	235
Well, honestly, I have never read any of the books I should read.	I haven’t read a lot of books.	236
Well, honestly, I have never read any of the books I should read.	I read books every day.	237
I went forward and took the luggage and went to the address as I should.	I left the pocket and thought it was not my problem.	238
I went forward and took the luggage and went to the address as I should.	I took the pocket to his apartment.	239
I went forward and took the luggage and went to the address as I should.	I brought the pocket where it belongs.	240
It was an incredible emotional rebound.	His mood remained completely consistent.	241
It was an incredible emotional rebound.	She changed from happy to sad.	242
It was an incredible emotional rebound.	The mood has changed greatly.	243
You have chosen me over about 15 people to go to this school, and I’m not, I’m not.	I was not chosen to go to school.	244
You have chosen me over about 15 people to go to this school, and I’m not, I’m not.	I was chosen to go to this school.	245
You have chosen me over about 15 people to go to this school, and I’m not, I’m not.	I was the most credible candidate.	246
You have to go through numerous air pressure chambers, eh, trips, before you ever fly U2's or fly with a printed train.	Most people fail on the tests and never get U2s to fly.	247
You have to go through numerous air pressure chambers, eh, trips, before you ever fly U2's or fly with a printed train.	You have to train a lot before you fly U2.	248
You have to go through numerous air pressure chambers, eh, trips, before you ever fly U2's or fly with a printed train.	They just let you fly U2s on your first day.	249
I take the same material.	I took into completely new topics.	253
I take the same material.	I report the same thing as the other magazines.	254
I take the same material.	I’m talking about the same things you’ve been talking about.	255
This was the first time in 75 years that the state of Texas has chosen a military unit for Texas Ambassadors and therefore needed Texas Ambassadors.	Military operations should not be TX ambassadors.	256
This was the first time in 75 years that the state of Texas has chosen a military unit for Texas Ambassadors and therefore needed Texas Ambassadors.	The military unit was appointed as TX Ambassador in the US Congress.	257
This was the first time in 75 years that the state of Texas has chosen a military unit for Texas Ambassadors and therefore needed Texas Ambassadors.	The military unit was named TX Ambassadors.	258
If there was something I could do.	I could do something.	259
If there was something I could do.	I knew there was nothing I could do.	260
If there was something I could do.	I think I could have done something to save him.	261
She hated it and she said that to her sister every day. she said that you’re doing it wrong.	She always encouraged her sister.	262
She hated it and she said that to her sister every day. she said that you’re doing it wrong.	She made it clear that her sister could do nothing right.	263
She hated it and she said that to her sister every day. she said that you’re doing it wrong.	She was very critical to her sister.	264
So I went to her house and then I called that number that I should call when I arrived there.	I borrowed her phone to make the call.	268
So I went to her house and then I called that number that I should call when I arrived there.	I called the number when I arrived at her.	269
So I went to her house and then I called that number that I should call when I arrived there.	I had to call, but I did not.	270
Well, I’m coming there this morning and, oh, I’ve forgotten how, I think I’ve either asked a question and he came there or whatever.	I didn’t go today, so I didn’t see him.	271
Well, I’m coming there this morning and, oh, I’ve forgotten how, I think I’ve either asked a question and he came there or whatever.	I was in the gym today and he came later and said hello.	272
Well, I’m coming there this morning and, oh, I’ve forgotten how, I think I’ve either asked a question and he came there or whatever.	I came this morning and he came.	273
We didn’t know where they went.	We didn’t know where the group was on the highway.	274
We didn’t know where they went.	We didn’t know where the people were going.	275
We didn’t know where they went.	We knew exactly where they went.	276
But I said, forget it, I'm going to eat lunch, I was hungry.	I had no appetite at all.	277
But I said, forget it, I'm going to eat lunch, I was hungry.	I was hungry, so I decided to eat my lunch.	278
But I said, forget it, I'm going to eat lunch, I was hungry.	I was hungry, so I went to the cafe.	279
So, let me tell you, today I’ve reached the point that would have brought me almost to disappear.	I almost gave up.	283
So, let me tell you, today I’ve reached the point that would have brought me almost to disappear.	I was so sad about them that I couldn’t stand it anymore.	284
So, let me tell you, today I’ve reached the point that would have brought me almost to disappear.	I never thought to stop.	285
He was born in the 1880s, as 188, I believe in 1889, I believe there he was born.	He was born before 1900.	292
He was born in the 1880s, as 188, I believe in 1889, I believe there he was born.	He was born in 1880.	293
He was born in the 1880s, as 188, I believe in 1889, I believe there he was born.	He was born only in 1984.	294
You better turn the small scrape a little down because you could otherwise damage and others their lungs very easily.	This scratch can hurt someone’s lungs.	295
You better turn the small scrape a little down because you could otherwise damage and others their lungs very easily.	The scratch does not take any risks, so pull them as hard as you want.	296
You better turn the small scrape a little down because you could otherwise damage and others their lungs very easily.	The scratch comes into the air pot and can hurt the lungs.	297
I got the order to drive to Del Rio, Texas. When I arrived there, I knew I had to go to Laughlin Air Force Base.	I was sent to work in Del Rio, Texas.	298
I got the order to drive to Del Rio, Texas. When I arrived there, I knew I had to go to Laughlin Air Force Base.	I have never gone to Texas.	299
I got the order to drive to Del Rio, Texas. When I arrived there, I knew I had to go to Laughlin Air Force Base.	The Air Force sent me to Del Rio, Tx in 2001.	300
Everyone gets champagne and some people don’t drink it, so what remains, drink the children, so we went around and drank all that champagne.	The kids drink three bottles of champagne.	301
Everyone gets champagne and some people don’t drink it, so what remains, drink the children, so we went around and drank all that champagne.	The kids drink some champagne.	302
Everyone gets champagne and some people don’t drink it, so what remains, drink the children, so we went around and drank all that champagne.	The whole party was dry and there was no alcohol served.	303
There are many stories about the naked city.	I have not heard stories.	304
There are many stories about the naked city.	There are many stories about the military.	305
There are many stories about the naked city.	There are many stories to be told.	306
You know you live and learn when you test aircraft.	I don’t know anything about aircraft testing.	307
You know you live and learn when you test aircraft.	Testing aircraft teaches you a lot of lessons.	308
You know you live and learn when you test aircraft.	Testing aircraft teaches you to cope with pressure.	309
I mean that was the whole point.	I don’t understand the point.	310
I mean that was the whole point.	I think the point was to tell us how dangerous it was.	311
I mean that was the whole point.	I understood the statement.	312
It was from an air force base that was flying over Cuba, and of course Rudolph Anderson was shot down.	All aircraft survived without being shot down.	313
It was from an air force base that was flying over Cuba, and of course Rudolph Anderson was shot down.	Something was shot over Cuba.	314
It was from an air force base that was flying over Cuba, and of course Rudolph Anderson was shot down.	The massive passenger plane was shot down over Cuba in May.	315
This is probably the first thing I remember from my early childhood, oh, especially if I had done something wrong.	I have no memories of my childhood.	319
This is probably the first thing I remember from my early childhood, oh, especially if I had done something wrong.	I feel bad until today.	320
This is probably the first thing I remember from my early childhood, oh, especially if I had done something wrong.	It was one of my first memories.	321
They just didn’t like how it was then to be black, and that was, you know, I suspect that was probably, you know, in the early 1930s when they did that.	It was hard to be black in the south.	322
They just didn’t like how it was then to be black, and that was, you know, I suspect that was probably, you know, in the early 1930s when they did that.	It was so easy to be black.	323
They just didn’t like how it was then to be black, and that was, you know, I suspect that was probably, you know, in the early 1930s when they did that.	It was hard to be black.	324
No one knew where they were going.	Everyone knew exactly where they went.	331
No one knew where they were going.	No one knew to which house they went.	332
No one knew where they were going.	His destination was a secret.	333
And they couldn’t stay in the Augusta region because the people there knew that they had tried to do something very taboo, and had tried to pass through as white.	People didn’t know they were not white.	334
And they couldn’t stay in the Augusta region because the people there knew that they had tried to do something very taboo, and had tried to pass through as white.	People knew they were Afro-Americans.	335
And they couldn’t stay in the Augusta region because the people there knew that they had tried to do something very taboo, and had tried to pass through as white.	People knew they were not white.	336
Yes, now he is here.	The man is present.	337
Yes, now he is here.	The guy arrived here just 2 minutes ago.	338
Yes, now he is here.	The guy never came here.	339
We watched something on television.	We did not have a TV.	340
We watched something on television.	We watched the TV.	341
We watched something on television.	We saw the television news.	342
I think I’ve talked to Ramona again.	I have never talked to Ramona.	343
I think I’ve talked to Ramona again.	I talked another time with Ramona.	344
I think I’ve talked to Ramona again.	It was a pleasant conversation.	345
He was the only victim of the Cuban crisis, and oh, Emperor oh, he took the photos and flight immediately to the Andrews Air Force in Washington.	10,000 people have died in the Cuban crisis.	352
He was the only victim of the Cuban crisis, and oh, Emperor oh, he took the photos and flight immediately to the Andrews Air Force in Washington.	Only one person died in the Cuban crisis.	353
He was the only victim of the Cuban crisis, and oh, Emperor oh, he took the photos and flight immediately to the Andrews Air Force in Washington.	Only one person was killed in a Cuba crash.	354
Oh, and she said, she said, she said, baby, she said, you don’t understand life as I understand life.	She said she didn’t know.	355
Oh, and she said, she said, she said, baby, she said, you don’t understand life as I understand life.	She said she knew more about life.	356
Oh, and she said, she said, she said, baby, she said, you don’t understand life as I understand life.	She told me I had no idea how the real world works and I should follow her.	357
Then I get it and I think great, what do I do with it?	I don’t know how to use the contraceptives.	358
Then I get it and I think great, what do I do with it?	I don’t know what I should use it for.	359
Then I get it and I think great, what do I do with it?	I knew exactly what I could use it for.	360
Give me just a minute if you want to cut it off, I’d, oh, go.	I am ready to go now.	367
Give me just a minute if you want to cut it off, I’d, oh, go.	I need a minute here.	368
Give me just a minute if you want to cut it off, I’d, oh, go.	I have to gather for a moment.	369
So I was, so I went to Washington D.C. and I didn’t go straight after, oh, where I should go according to my instructions.	I have never been in Washington DC.	370
So I was, so I went to Washington D.C. and I didn’t go straight after, oh, where I should go according to my instructions.	I went to DC to see my boss.	371
So I was, so I went to Washington D.C. and I didn’t go straight after, oh, where I should go according to my instructions.	I went to the capital of the nation.	372
She was a bright black person.	She had a very dark hair.	376
She was a bright black person.	She had a bright skin for an African American person.	377
She was a bright black person.	Her skin was brighter than the rest of her black friends.	378
Anyway, Dad goes and makes this beautiful large glass of chocolate milk for me.	My dad brought me chocolate from the refrigerator.	379
Anyway, Dad goes and makes this beautiful large glass of chocolate milk for me.	My dad gave me a glass of milk.	380
Anyway, Dad goes and makes this beautiful large glass of chocolate milk for me.	My father told me I had no drink.	381
The dead had to buy the property and all the goods.	The transport ministry managed to find another property that they could rent instead.	382
The dead had to buy the property and all the goods.	The property and equipment were purchased by the Ministry of Transport.	383
The dead had to buy the property and all the goods.	The purchase of the land cost the DOT more than three million dollars.	384
He would have been born	He was expected to be born in December 2010.	391
He would have been born	He should be born.	392
He would have been born	He should not be born.	393
I’m like, I know how far I’ve come.	I told them I didn’t know what I did.	397
I’m like, I know how far I’ve come.	I told them I knew I had exceeded their expectations by 40%.	398
I’m like, I know how far I’ve come.	I told them I know what I’ve achieved.	399
OK, can you hear me?	Can you hear me right now?	400
OK, can you hear me?	Can you hear what I say?	401
OK, can you hear me?	I know you can’t hear me.	402
Oh, there are some you said you don’t remember reading something special when you were older at school, there were some books you read that you liked or hated?	Do you like the Harry Potter books or not?	409
Oh, there are some you said you don’t remember reading something special when you were older at school, there were some books you read that you liked or hated?	Do you like or hate certain books?	410
Oh, there are some you said you don’t remember reading something special when you were older at school, there were some books you read that you liked or hated?	I know you loved every book you had written.	411
It is a small scrape that has a injection, but the one that has set the breathing pressure to the pilot and the opposite pressure.	The scratch affects the pressure.	415
It is a small scrape that has a injection, but the one that has set the breathing pressure to the pilot and the opposite pressure.	The shrimp is small and silver.	416
It is a small scrape that has a injection, but the one that has set the breathing pressure to the pilot and the opposite pressure.	There are no screws, only buttons.	417
She says, Don’t worry, you know, just take your time.	She told me I had to rush immediately.	418
She says, Don’t worry, you know, just take your time.	She told me it would be okay if I needed hours.	419
She says, Don’t worry, you know, just take your time.	She told me I just had to drive slowly.	420
President Kennedy says to the pilots, says, my gentlemen, make good pictures.	Kennedy did not recognize it.	421
President Kennedy says to the pilots, says, my gentlemen, make good pictures.	Kennedy talked to the Air Force pilots.	422
President Kennedy says to the pilots, says, my gentlemen, make good pictures.	Kennedy talked to the pilots.	423
And I said something like: I’m almost finished.	I told him I would be done in 10 minutes.	424
And I said something like: I’m almost finished.	I told him I would never finish.	425
And I said something like: I’m almost finished.	I told them I was almost ready.	426
I tried to record everything.	I wanted to write things.	427
I tried to record everything.	I didn’t make any effort to write something.	428
I tried to record everything.	I wrote every work she said.	429
No, she was born in 1900 because she was 16, and so it must have been like 1926, 19, you know, before 1930.	She was born on 1 January 1900.	430
No, she was born in 1900 because she was 16, and so it must have been like 1926, 19, you know, before 1930.	She was born around the century.	431
No, she was born in 1900 because she was 16, and so it must have been like 1926, 19, you know, before 1930.	She was born only in 1943.	432
So it was really interesting.	I was very interested in how much I could eat.	436
So it was really interesting.	I was not interested at all.	437
So it was really interesting.	It was interesting to me.	438
Her sister could pass as white and has actually passed as white.	Her sister had the brightest skin of all in the neighborhood.	439
Her sister could pass as white and has actually passed as white.	Her sister was normally considered white.	440
Her sister could pass as white and has actually passed as white.	Shers’ sister is very dark.	441
Well, he was almost old enough to be her father.	He was 27 years older than you.	442
Well, he was almost old enough to be her father.	He was much younger than you.	443
Well, he was almost old enough to be her father.	He was older than you.	444
That, I was the only 922, the survivor, the other man was a physiological support.	No one gave any kind of support.	445
That, I was the only 922, the survivor, the other man was a physiological support.	A man gave the troops physiological support.	446
That, I was the only 922, the survivor, the other man was a physiological support.	A man gave physiological support.	447
And here I am, think he will come pure and be so, you already know, just let it go to me, you know, just how I could not do it.	I knew he would not come here.	448
And here I am, think he will come pure and be so, you already know, just let it go to me, you know, just how I could not do it.	I thought he would come here to fight.	449
And here I am, think he will come pure and be so, you already know, just let it go to me, you know, just how I could not do it.	I thought he would complain about my soundfall.	450
Well, of course, we had an idea, we couldn’t make any mistakes.	It’s okay if we’ve made a few mistakes.	451
Well, of course, we had an idea, we couldn’t make any mistakes.	We could not make mistakes.	452
Well, of course, we had an idea, we couldn’t make any mistakes.	We were not allowed to write something wrong.	453
And, yes, but, in the night I thought I couldn’t sleep.	I had trouble sleeping tonight.	454
And, yes, but, in the night I thought I couldn’t sleep.	I always had nightmares that prevented me from sleeping.	455
And, yes, but, in the night I thought I couldn’t sleep.	I sleep at night like a baby.	456
Something she really has, like great defence.	She could defend herself against wild dogs.	457
Something she really has, like great defence.	He was able to defend himself well.	458
Something she really has, like great defence.	She was incredibly hurtful.	459
So far as I have never been told...	He told him everything I needed to know.	460
So far as I have never been told...	I was not told about the Security Protocol.	461
So far as I have never been told...	Sometimes nothing is told to me.	462
He lived in this area.	Our house was nearby.	463
He lived in this area.	Our house was far away from this place.	464
He lived in this area.	Our house was two streets away.	465
And he speaks so fast, he is on the phone.	He speaks as slow as he can.	466
And he speaks so fast, he is on the phone.	He speaks to an iPhone.	467
And he speaks so fast, he is on the phone.	He speaks in his phone.	468
I can’t remember what it was, but suddenly I was really nervous that I would go to school for the first time and that was probably the most stressful day of my life.	I was really relaxed when it comes to school.	469
I can’t remember what it was, but suddenly I was really nervous that I would go to school for the first time and that was probably the most stressful day of my life.	I was worried about going to school.	470
I can’t remember what it was, but suddenly I was really nervous that I would go to school for the first time and that was probably the most stressful day of my life.	I was worried about entering the kindergarten.	471
I lived right outside St. Louis, between Jefferson City and St. Louis, MO.	I lived in Texas.	475
I lived right outside St. Louis, between Jefferson City and St. Louis, MO.	I lived in a Yellow House in Missouri.	476
I lived right outside St. Louis, between Jefferson City and St. Louis, MO.	I was in Missouri.	477
I registered at a particular place in Del Rio, then I had to go to Laughlin Air Force Base, which was only recently reopened.	The Laughlin Air Force Base closed for a while.	481
I registered at a particular place in Del Rio, then I had to go to Laughlin Air Force Base, which was only recently reopened.	The Laughlin air force base is always open.	482
I registered at a particular place in Del Rio, then I had to go to Laughlin Air Force Base, which was only recently reopened.	The Laughlin Air Force Base hosts 10,000 soldiers.	483
I don’t care how you are.	It doesn’t matter what color you choose.	487
I don’t care how you are.	I have to agree with every business.	488
I don’t care how you are.	I don’t care how you finish it.	489
So I look, find out where Ramona is and call her there.	I called Ramona to my house.	490
So I look, find out where Ramona is and call her there.	I called Ramona to me.	491
So I look, find out where Ramona is and call her there.	I ignored Ramona.	492
Meanwhile, the Air Force bought the SR71, now the A-12, on which we worked with the CIA.	The Air Force bought 18 aircraft.	496
Meanwhile, the Air Force bought the SR71, now the A-12, on which we worked with the CIA.	The Air Force bought aircraft.	497
Meanwhile, the Air Force bought the SR71, now the A-12, on which we worked with the CIA.	The Air Force had no aircraft.	498
