sentence1	sentence2	pairID
Aber sie waren gespalten darüber, wer die Feldhände waren und wer die Hauskinder waren, es war irgendwie ...	Alle waren sich einig, dass sie alle auf den Feldern arbeiten würden.	61
Aber sie waren gespalten darüber, wer die Feldhände waren und wer die Hauskinder waren, es war irgendwie ...	Sie konnten sich nicht darüber einigen, wer nach draußen und wer ins Haus gehörte.	62
Aber sie waren gespalten darüber, wer die Feldhände waren und wer die Hauskinder waren, es war irgendwie ...	Sie konnten sich nicht einigen, wer im Baumwollfeld arbeiten sollte und wer die Böden wischen sollte.	63
Heute spricht er zu uns über die Third SS, die U2 Quick und die Blackbird.	Er war entschieden nicht mehr zu reden.	67
Heute spricht er zu uns über die Third SS, die U2 Quick und die Blackbird.	Er spricht von drei verschiedenen U-Booten.	68
Heute spricht er zu uns über die Third SS, die U2 Quick und die Blackbird.	Er redet über drei Sachen.	69
Ich meine sie hatten nur ungefähr 5 Kinder, eines starb.	Alle ihrer Kinder überlebten.	70
Ich meine sie hatten nur ungefähr 5 Kinder, eines starb.	Eins von den fünf Kindern starb.	71
Ich meine sie hatten nur ungefähr 5 Kinder, eines starb.	Das Kind, das gestorben ist, wurde krank geboren.	72
Und Natürlich Androv Gromikov hat nichts beantwortet, aber wir hatten alle Informationen von den Filmen die U2 gemacht hatte.	Die U2 hat viel gedreht.	73
Und Natürlich Androv Gromikov hat nichts beantwortet, aber wir hatten alle Informationen von den Filmen die U2 gemacht hatte.	Das U2 nahm eine Menge Filmmaterial unter Wasser auf.	74
Und Natürlich Androv Gromikov hat nichts beantwortet, aber wir hatten alle Informationen von den Filmen die U2 gemacht hatte.	Wir hatten keine Aufnahmen, also mussten wir einfach raten.	75
Sie sagte, dass nur Tränen aus ihren Augen kamen und sie sagte, dann sagte sie, Joe kam auf die Veranda.	Als sie ihm sagte, er solle auf die Veranda kommen, hatte sie Tränen in den Augen.	76
Sie sagte, dass nur Tränen aus ihren Augen kamen und sie sagte, dann sagte sie, Joe kam auf die Veranda.	Sie wischte schnell die Tränen weg nachdem sie Joe von der Veranda warf.	77
Sie sagte, dass nur Tränen aus ihren Augen kamen und sie sagte, dann sagte sie, Joe kam auf die Veranda.	Sie war so froh, Joe zu sehen, dass sie anfing zu weinen.	78
Selbst wenn das Flugzeug brannte, warum würde es, es brennen, uh, und es würde durch eine Bleikomponente schmelzen, so dass die Strahlung austreten würde.	Die Strahlung kann auch im Brandfall eingedämmt werden.	79
Selbst wenn das Flugzeug brannte, warum würde es, es brennen, uh, und es würde durch eine Bleikomponente schmelzen, so dass die Strahlung austreten würde.	Die Strahlung würde, nachdem das Flugzeug verbrannt ist, aus einer Bleikomponente austreten.	80
Selbst wenn das Flugzeug brannte, warum würde es, es brennen, uh, und es würde durch eine Bleikomponente schmelzen, so dass die Strahlung austreten würde.	Die Strahlung würde während eines Feuers nicht austreten.	81
Dies ist Chief Master Sergeant Clem Francis, im Ruhestand von der US Air Force.	Der Chief ist aus der US Air Force in den Ruhestand getreten.	88
Dies ist Chief Master Sergeant Clem Francis, im Ruhestand von der US Air Force.	Der Leiter hat sich erst vor ein paar Wochen zurückgezogen.	89
Dies ist Chief Master Sergeant Clem Francis, im Ruhestand von der US Air Force.	Der US Air Force Chief hat gerade in dieser Woche seine Karriere begonnen.	90
Nun es kam soweit, dass zwei oder drei Flugzeuge pro Woche ankamen und ich nicht wusste, wohin sie flogen.	Jede Woche kommt mehr als ein Flugzeug an.	91
Nun es kam soweit, dass zwei oder drei Flugzeuge pro Woche ankamen und ich nicht wusste, wohin sie flogen.	Der angestiegene Flugverkehr ist problematisch	92
Nun es kam soweit, dass zwei oder drei Flugzeuge pro Woche ankamen und ich nicht wusste, wohin sie flogen.	Es kommen nie Flugzeuge an.	93
Sie hatten ihr Training bereits in den vollen Druckanzügen absolviert und ich brauchte eine Weile, den vollen Druckanzug anzuziehen.	Es dauert bis zu drei Monate, um eine Schulung über die Verwendung eines Volldruckanzuges zu absolvieren.	94
Sie hatten ihr Training bereits in den vollen Druckanzügen absolviert und ich brauchte eine Weile, den vollen Druckanzug anzuziehen.	Das Training der Nutzung eines Volldruckanzug braucht Zeit.	95
Sie hatten ihr Training bereits in den vollen Druckanzügen absolviert und ich brauchte eine Weile, den vollen Druckanzug anzuziehen.	Wir könnten dir vor Tagesende beibringen, einen kompletten Druckanzug zu benutzen.	96
Ich möchte sagen, dass es keine Gefahr gab mit der Bombe in die Luft zu gehen, weil sie nicht explodieren würde, egal wie hart sie auf dem Boden aufschlug.	Die Bombe wurde vom Piloten deaktiviert.	106
Ich möchte sagen, dass es keine Gefahr gab mit der Bombe in die Luft zu gehen, weil sie nicht explodieren würde, egal wie hart sie auf dem Boden aufschlug.	Die Bombe hatte keine Möglichkeit zu explodieren.	107
Ich möchte sagen, dass es keine Gefahr gab mit der Bombe in die Luft zu gehen, weil sie nicht explodieren würde, egal wie hart sie auf dem Boden aufschlug.	Es bestand eine große Gefahr, dass die Bombe explodierte.	108
Und wie wäre es, es sieht genau so aus, wie das, was ich versuche zu tun.	Ich bin mir nicht sicher, wie das für dich aussieht.	109
Und wie wäre es, es sieht genau so aus, wie das, was ich versuche zu tun.	Ich versuche das offensichtlich zu tun.	110
Und wie wäre es, es sieht genau so aus, wie das, was ich versuche zu tun.	Ich werde versuchen, mein Projekt nächste Woche zu beenden.	111
Aber trotzdem laufen die Tiere ständig davon, besonders die Ziegen.	Die Ziegen sind jeden Tag aus der Scheune ausgebrochen.	112
Aber trotzdem laufen die Tiere ständig davon, besonders die Ziegen.	Die Ziegen entkamen oft.	113
Aber trotzdem laufen die Tiere ständig davon, besonders die Ziegen.	Die Ziegen wurden sicher un geschützt gehalten.	114
Die Türen waren geschlossen, als er hineinging.	Alle Türen waren offen.	118
Die Türen waren geschlossen, als er hineinging.	Wir hatten Schlüssel dabei.	119
Die Türen waren geschlossen, als er hineinging.	Wir verschafften uns Eintritt, obwohl die Türen geschlossen waren.	120
Also, ich musste einfach die Summen nehmen und es versuchen es so zu machen.	Ich bin zuversichtlich, dass die Summe alles ist, was ich brauche, um das herauszufinden.	127
Also, ich musste einfach die Summen nehmen und es versuchen es so zu machen.	Ich habe keine Ahnung, was ich nur mit den Summen machen kann, bitte gib mir mehr Details, um dieses Chaos zu verstehen.	128
Also, ich musste einfach die Summen nehmen und es versuchen es so zu machen.	Ich werde es auf den Gesamtbeträgen basierend berechnen.	129
Er kam, er öffnete die Tür und ich erinnere mich daran dass ich zurück schaute und den Ausdruck auf seinem Gesicht sah, und ich wusste, dass er enttäuscht war.	Er war so aufgeregt und freute sich so sehr, dass er beinahe die Tür aus dem Rahmen gedrückt hätte.	130
Er kam, er öffnete die Tür und ich erinnere mich daran dass ich zurück schaute und den Ausdruck auf seinem Gesicht sah, und ich wusste, dass er enttäuscht war.	Er versuchte, uns nicht schuldig fühlen zu lassen, aber wir wussten, dass wir ihm Schwierigkeiten bereitet hatten.	131
Er kam, er öffnete die Tür und ich erinnere mich daran dass ich zurück schaute und den Ausdruck auf seinem Gesicht sah, und ich wusste, dass er enttäuscht war.	Allein an den Ausdruck in seinem Gesicht, als er durch die Tür kam, erkannte ich, dass er enttäuscht war.	132
Also, ich habe keine spezifischen Geschichten.	Ich habe keinen speziellen Laden.	133
Also, ich habe keine spezifischen Geschichten.	Ich habe 1 bestimmten Laden.	134
Also, ich habe keine spezifischen Geschichten.	Es gibt viele Geschäfte.	135
Und so war es, er musste nie wirklich etwas für sich selbst tun.	Er bekommt viel Hilfe.	142
Und so war es, er musste nie wirklich etwas für sich selbst tun.	Er bekommt Hilfe mit seinen Mahlzeiten und der Kleidung.	143
Und so war es, er musste nie wirklich etwas für sich selbst tun.	Er ist sehr unabhängig.	144
Also ich so, Oh mein Gott und Ramona hat da gestanden.	Ramona lag zusammengerollt auf dem Boden.	148
Also ich so, Oh mein Gott und Ramona hat da gestanden.	Ramona musterte mich schweigend.	149
Also ich so, Oh mein Gott und Ramona hat da gestanden.	Ramona war aufrecht, während ich mit Bewunderung da war.	150
Und Tatsache ist, dass sie Licht war!	Sie aß zu viel, behielt aber trotzdem ihr Gewicht bei.	154
Und Tatsache ist, dass sie Licht war!	Sie wog überhaupt nicht viel.	155
Und Tatsache ist, dass sie Licht war!	Sie war sehr glücklich.	156
Ich weiß nicht ob er danach in Augusta geblieben ist.	Er lebte auch nach den Anschlägen in Augusta.	163
Ich weiß nicht ob er danach in Augusta geblieben ist.	Er wohnte weiterhin in Augusta.	164
Ich weiß nicht ob er danach in Augusta geblieben ist.	Er zog sofort aus Augusta heraus.	165
Bei allem was wir taten, sagten sie uns nie wo sie hingingen, nicht einmal wenn sie die Basis verließen um für eine Weile anderswo zu bleiben.	Ich habe nie gefragt, wohin sie gehen.	166
Bei allem was wir taten, sagten sie uns nie wo sie hingingen, nicht einmal wenn sie die Basis verließen um für eine Weile anderswo zu bleiben.	Sie ließen uns immer wissen, wo sie waren und wohin sie gingen.	167
Bei allem was wir taten, sagten sie uns nie wo sie hingingen, nicht einmal wenn sie die Basis verließen um für eine Weile anderswo zu bleiben.	Sie sagten uns nie wo sie hingingen.	168
Sie sagten: Wir zahlen für einen Platz, damit du bleibst.	Sie werden für nichts im Voraus zahlen.	175
Sie sagten: Wir zahlen für einen Platz, damit du bleibst.	Sie bezahlen für mich und meine Geschwister Unterkunft.	176
Sie sagten: Wir zahlen für einen Platz, damit du bleibst.	Sie bezahlen für die Unterkunft.	177
Nun, am nächsten Tag blockierte natürlich Präsident Kennedy Kuba und, äh, unsere Schiffe stoppten ein russisches Schiff, das außerhalb von Kuba unterwegs war, und sie fanden Raketen auf diesem.	Kennedy befahl unseren Truppen, nach Raketen zu suchen.	178
Nun, am nächsten Tag blockierte natürlich Präsident Kennedy Kuba und, äh, unsere Schiffe stoppten ein russisches Schiff, das außerhalb von Kuba unterwegs war, und sie fanden Raketen auf diesem.	Sie haben keine Schiffe angehalten, weil sie keinen Konflikt wollten.	179
Nun, am nächsten Tag blockierte natürlich Präsident Kennedy Kuba und, äh, unsere Schiffe stoppten ein russisches Schiff, das außerhalb von Kuba unterwegs war, und sie fanden Raketen auf diesem.	Sie haben 20 Raketen auf dem Schiff gefunden.	180
Jedenfalls kommt der Mann herein.	Der Mann betrat den Gerichtssaal.	181
Jedenfalls kommt der Mann herein.	Der Mann betrat den Raum.	182
Jedenfalls kommt der Mann herein.	Der Mann rannte in die andere Richtung.	183
Ähm, meine Großeltern waren immer sehr, sehr liebevolle Menschen und einige von meinen Eltern waren auch so, und wir hatten einfach eine tolle Zeit dort unten.	Die Fahrt zum Haus meiner Großeltern dauerte lange.	184
Ähm, meine Großeltern waren immer sehr, sehr liebevolle Menschen und einige von meinen Eltern waren auch so, und wir hatten einfach eine tolle Zeit dort unten.	Meine Großeltern waren ein sehr liebendes Paar.	185
Ähm, meine Großeltern waren immer sehr, sehr liebevolle Menschen und einige von meinen Eltern waren auch so, und wir hatten einfach eine tolle Zeit dort unten.	Meine Großeltern waren immer sehr griesgrämig und wir haben es nie gemocht, zu ihrem Haus zu gehen.	186
Ich hatte keine Zeit, um alles Mögliche zu betreten.	Ich hätte es später eingeben können.	196
Ich hatte keine Zeit, um alles Mögliche zu betreten.	Ich habe es alles rechtzeitig eingegeben.	197
Ich hatte keine Zeit, um alles Mögliche zu betreten.	Ich hatte keine Zeit mehr, es alles einzugeben.	198
Und hmm, eine meiner Aufgaben zu der Zeit war es Einzelpersonen beizubringen, wie sie Fallschirme auf die Zünder von Atomwaffen setzen, damit hmm, wodurch die Atombombe explodiert.	Die Atombombe hat keinen Auslöser.	199
Und hmm, eine meiner Aufgaben zu der Zeit war es Einzelpersonen beizubringen, wie sie Fallschirme auf die Zünder von Atomwaffen setzen, damit hmm, wodurch die Atombombe explodiert.	Der Zünder zündet die Bombe, wenn er gezogen wird.	200
Und hmm, eine meiner Aufgaben zu der Zeit war es Einzelpersonen beizubringen, wie sie Fallschirme auf die Zünder von Atomwaffen setzen, damit hmm, wodurch die Atombombe explodiert.	Man braucht nur ein winizges bisschen Kraft um den Auslöser der Atombombe to ziehen.	201
Meine Großmutter erzählte mir viele verschiedene Geschichten über ihre heranwachsenden Jahre und, ähm, besonders, uh, sprach sie über ihre Familie und wie es damals war.	Ich habe mir die Geschichten meiner Großmutter immer gerne angehört.	202
Meine Großmutter erzählte mir viele verschiedene Geschichten über ihre heranwachsenden Jahre und, ähm, besonders, uh, sprach sie über ihre Familie und wie es damals war.	Meine Großmutter hat sich immer geweigert, über ihre Kindheit zu sprechen.	203
Meine Großmutter erzählte mir viele verschiedene Geschichten über ihre heranwachsenden Jahre und, ähm, besonders, uh, sprach sie über ihre Familie und wie es damals war.	Meine Großmutter erzählte mir  viele Dinge über ihre Familie von der Zeit in der sie aufwuchs.	204
Wir trugen Druckanzüge im Flugzeug, so wie ihn Astronauten tragen, nur dass unsere vollkommen silberfarben waren, silberfarbene äh Stiefel und alles, um natürlich die Hitze zurückzuwerfen.	Unsere Anzüge waren nichts dergleichen was die Astronauten hatten.	205
Wir trugen Druckanzüge im Flugzeug, so wie ihn Astronauten tragen, nur dass unsere vollkommen silberfarben waren, silberfarbene äh Stiefel und alles, um natürlich die Hitze zurückzuwerfen.	Unsere Anzüge waren die gleichen wie bei Astronauten, außer um Hitze zu reflektieren waren unsere silber.	206
Wir trugen Druckanzüge im Flugzeug, so wie ihn Astronauten tragen, nur dass unsere vollkommen silberfarben waren, silberfarbene äh Stiefel und alles, um natürlich die Hitze zurückzuwerfen.	Sie können die Anzüge in jeder gewünschten Farbe erhalten.	207
Und er war, mein Großvater war kein netter Mensch	Mein Opa war ein Idiot.	208
Und er war, mein Großvater war kein netter Mensch	Mein Großvater war sehr rassistisch und gemein.	209
Und er war, mein Großvater war kein netter Mensch	Mein Opa war der netteste Mann, den du jemals treffen wirst!	210
Es sind 30 oder 40 U2 Flugzeuge und wir haben begonnen Chinesische und britische Piloten, praktisch Piloten von Verbündeten auf der ganzen Welt, in ihnen zu trainieren	Wir hatten mit niemandem trainiert.	211
Es sind 30 oder 40 U2 Flugzeuge und wir haben begonnen Chinesische und britische Piloten, praktisch Piloten von Verbündeten auf der ganzen Welt, in ihnen zu trainieren	Wir trainierten 5 Wochen lang mit den Brieten.	212
Es sind 30 oder 40 U2 Flugzeuge und wir haben begonnen Chinesische und britische Piloten, praktisch Piloten von Verbündeten auf der ganzen Welt, in ihnen zu trainieren	Wir haben mit einer Menge anderer Soldaten trainiert.	213
Also, sie ist wie, Ok schau, schau das in dem und dem Unternehmen nach	Sie hat nicht mit mir gesprochen.	214
Also, sie ist wie, Ok schau, schau das in dem und dem Unternehmen nach	Sie sagte mir, ich solle etwas nachschlagen.	215
Also, sie ist wie, Ok schau, schau das in dem und dem Unternehmen nach	Sie sagte mir ich sollte mir ihre Finanzunterlagen ansehen.	216
Er sagte dass sie in den Norden gegangen sind.	Er sagte, dass er ein paar Zwischenstopps gemacht hätte.	217
Er sagte dass sie in den Norden gegangen sind.	Er sagte, dass sie nach Süden gingen.	218
Er sagte dass sie in den Norden gegangen sind.	Er sagte, sie seien in den Norden gegangen.	219
Hmm, nein, ehrlich gesagt habe ich noch nie eines der Bücher gelesen, die ich lesen sollte.	Ich habe keine Bücher gelesen, die länger als 100 Seiten sind.	235
Hmm, nein, ehrlich gesagt habe ich noch nie eines der Bücher gelesen, die ich lesen sollte.	Ich habe nicht viele Bücher gelesen.	236
Hmm, nein, ehrlich gesagt habe ich noch nie eines der Bücher gelesen, die ich lesen sollte.	Ich lese Bücher jeden Tag.	237
Ich ging voran und nahm das Gepäck und ging zu der Adresse, so wie ich sollte.	Ich ließ die Tasche liegen und dachte mir, es sei nicht mein Problem.	238
Ich ging voran und nahm das Gepäck und ging zu der Adresse, so wie ich sollte.	Ich nahm die Tasche zu seiner Wohnung.	239
Ich ging voran und nahm das Gepäck und ging zu der Adresse, so wie ich sollte.	Ich habe die Tasche dorthin gebracht, wo sie hingehört.	240
Es war ein unglaublicher Gefühlsumschwung.	Ihre Laune blieb komplett konsistent.	241
Es war ein unglaublicher Gefühlsumschwung.	Sie wechselte von glücklich zu traurig.	242
Es war ein unglaublicher Gefühlsumschwung.	Die Stimmung hat sich sehr verändert.	243
Sie haben mich über etwa 15 Personen ausgewählt, um zu dieser Schule zu gehen, und ich bin es nicht, ich nicht.	Ich wurde nicht ausgewählt, die Schule zu besuchen.	244
Sie haben mich über etwa 15 Personen ausgewählt, um zu dieser Schule zu gehen, und ich bin es nicht, ich nicht.	Ich wurde auserwählt um auf diese Schule zu gehen.	245
Sie haben mich über etwa 15 Personen ausgewählt, um zu dieser Schule zu gehen, und ich bin es nicht, ich nicht.	Ich war der glaubwürdigste Kandidat.	246
Sie müssen durch zahlreiche Luftdruckkammern, eh, Fahrten gehen, ehe sie überhaupt U2's fliegen oder mit Druckanzug fliegen.	Die meisten Leute scheitern an den Tests und bekommen nie U2s zum fliegen.	247
Sie müssen durch zahlreiche Luftdruckkammern, eh, Fahrten gehen, ehe sie überhaupt U2's fliegen oder mit Druckanzug fliegen.	Sie müssen viel trainieren, bevor sie U2's fliegen.	248
Sie müssen durch zahlreiche Luftdruckkammern, eh, Fahrten gehen, ehe sie überhaupt U2's fliegen oder mit Druckanzug fliegen.	Die haben dich gerade U2s an deinem ersten Tag fliegen lassen.	249
Ich decke den gleichen Stoff ab.	Ich nahm völlig neue Themen durch.	253
Ich decke den gleichen Stoff ab.	Ich berichte das gleiche Zeug wie die anderen Magazine.	254
Ich decke den gleichen Stoff ab.	Ich spreche über die gleichen Dinge über die sie auch gesprochen haben.	255
Dies war das erste Mal in 75 Jahren, dass der Staat Texas eine Militäreinheit zu Texas-Botschafter gewählt hat und daher Texas-Botschafter benötigt hat.	Militärische Einsatzkräfte dürfen keine TX-Botschafter sein.	256
Dies war das erste Mal in 75 Jahren, dass der Staat Texas eine Militäreinheit zu Texas-Botschafter gewählt hat und daher Texas-Botschafter benötigt hat.	Die Militäreinheit wurde als TX-Botschafter im US-Kongress benannt.	257
Dies war das erste Mal in 75 Jahren, dass der Staat Texas eine Militäreinheit zu Texas-Botschafter gewählt hat und daher Texas-Botschafter benötigt hat.	Die Militäreinheit wurde TX Ambassadors genannt	258
Wenn es nur etwas gäbe, was ich tun könnte.	Ich könnte etwas tun.	259
Wenn es nur etwas gäbe, was ich tun könnte.	Ich wusste, es gab nichts, das ich tun könnte.	260
Wenn es nur etwas gäbe, was ich tun könnte.	Ich glaube, ich hätte etwas tun können um ihn zu retten.	261
Sie hasste es und sie sagte das ihrer Schwester jeden Tag. Sie sagte dass, dass Du es falsch machst.	Sie hat ihre Schwester immer ermutigt.	262
Sie hasste es und sie sagte das ihrer Schwester jeden Tag. Sie sagte dass, dass Du es falsch machst.	Sie machte deutlich, dass ihre Schwester nichts richtig machen konnte.	263
Sie hasste es und sie sagte das ihrer Schwester jeden Tag. Sie sagte dass, dass Du es falsch machst.	Sie war sehr kritisch gegenüber ihrer Schwester.	264
Also ging ich zu ihrem Haus und dann rief ich diese Nummer an, die ich anrufen sollte, als ich dort ankam.	Ich habe mir ihr Telefon geliehen, um den Anruf zu tätigen.	268
Also ging ich zu ihrem Haus und dann rief ich diese Nummer an, die ich anrufen sollte, als ich dort ankam.	Ich rief die Nummer an, als ich bei ihr ankam.	269
Also ging ich zu ihrem Haus und dann rief ich diese Nummer an, die ich anrufen sollte, als ich dort ankam.	Ich hätte anrufen sollen, aber ich habe es nicht getan.	270
Nun, ich komme dort heute morgen an und, äh, ich habe vergessen wie, ich glaube, ich habe entweder eine Frage gestellt und er kam dort hin oder was auch immer.	Ich bin heute nicht gegangen, also habe ich ihn nicht gesehen.	271
Nun, ich komme dort heute morgen an und, äh, ich habe vergessen wie, ich glaube, ich habe entweder eine Frage gestellt und er kam dort hin oder was auch immer.	Ich war heute im Fitnessstudio und er kam später und sagte Hallo.	272
Nun, ich komme dort heute morgen an und, äh, ich habe vergessen wie, ich glaube, ich habe entweder eine Frage gestellt und er kam dort hin oder was auch immer.	Ich bin heute Morgen erschienen und er kam auch.	273
Wir wussten nicht wo sie hin gegangen sind.	Wir wussten nicht, wo die Gruppe auf der Autobahn unterwegs war.	274
Wir wussten nicht wo sie hin gegangen sind.	Wir wussten nicht, wohin die Leute reisten.	275
Wir wussten nicht wo sie hin gegangen sind.	Wir wussten genau wo sie hin gingen.	276
Aber ich sagte, vergiss es, ich werde Mittag essen, ich war hungrig.	Ich hatte überhaupt keinen Appetit.	277
Aber ich sagte, vergiss es, ich werde Mittag essen, ich war hungrig.	Ich hatte Hunger, deshalb beschloss ich, mein Mittagessen zu essen.	278
Aber ich sagte, vergiss es, ich werde Mittag essen, ich war hungrig.	Ich war am verhungern, also ging ich in die Cafeteria.	279
Also, lass mich dir sagen, heute bin ich an dem Punkt angelangt, der mich beinahe zum hinschmeissen gebracht hätte.	Ich habe fast aufgegeben.	283
Also, lass mich dir sagen, heute bin ich an dem Punkt angelangt, der mich beinahe zum hinschmeissen gebracht hätte.	Ich hatte so viel Kummer wegen ihnen, dass ich es nicht mehr aushalten konnte.	284
Also, lass mich dir sagen, heute bin ich an dem Punkt angelangt, der mich beinahe zum hinschmeissen gebracht hätte.	Es ist mir nie der Gedanke gekommen aufzuhören.	285
Er wurde in den 1880igern geboren, wie 188, ich glaube 1889, Ich glaube da wurde er geboren.	Er wurde vor dem Jahr 1900 geboren.	292
Er wurde in den 1880igern geboren, wie 188, ich glaube 1889, Ich glaube da wurde er geboren.	Er ist im Jahr 1880 geboren.	293
Er wurde in den 1880igern geboren, wie 188, ich glaube 1889, Ich glaube da wurde er geboren.	Er wurde erst 1984 geboren.	294
Du drehst die kleine Schraube besser etwas nach unten weil du könntest sonst beschädigen und anderen ihre lunge sehr leicht	Diese Schraube kann jemandes Lunge verletzen.	295
Du drehst die kleine Schraube besser etwas nach unten weil du könntest sonst beschädigen und anderen ihre lunge sehr leicht	Die Schraube birgt keine Risiken, also ziehen Sie sie so fest wie Sie wollen.	296
