sentence1	sentence2	pairID
Alisema kwamba machozi ylikuwa yanamtiririka kutoka usoni. Alafu akasema pia Joe alishuka kutoka ukumbini.	Alifurahi sana kuona Joe kwamba alianza kulia.	78
Hata kama ndege ile ilikuwa inateketea, kwa nini, ingekuwa uh, teketea and ingeweza kuyeyuka kwa sehemu ya risasi ili mionzi kuvuja.	Mionzi inaweza dhibitiwa wakati wa moto pia.	79
Hata kama ndege ile ilikuwa inateketea, kwa nini, ingekuwa uh, teketea and ingeweza kuyeyuka kwa sehemu ya risasi ili mionzi kuvuja.	Mionzi ingeweza kuvuja kutoka sehemu ya uongozi baada ya ndege kuchomeka.	80
Hata kama ndege ile ilikuwa inateketea, kwa nini, ingekuwa uh, teketea and ingeweza kuyeyuka kwa sehemu ya risasi ili mionzi kuvuja.	Mionzi haiwezi kuvuja wakati wa moto.	81
Mkuu wa Jeshi Clem Francis astaafu kutoka kitengo cha majeshi ya hewani ya Marekani.	Chifu amestaafu kutoka Jeshi la Anga la Marekani.	88
Mkuu wa Jeshi Clem Francis astaafu kutoka kitengo cha majeshi ya hewani ya Marekani.	Chifu alistaafu hivi karibuni wiki kadhaa zilizopita	89
Mkuu wa Jeshi Clem Francis astaafu kutoka kitengo cha majeshi ya hewani ya Marekani.	Mkuu wa Jeshi la Jeshi la US amenza kazi yake wiki hii.	90
Basi ilifikia mahali kuna ndege mbili ama tatu zinazofika kila wiki na sikujua kwenye zinapaa zikienda.	Zaidi ya ndege moja huwasili kila wiki.	91
Basi ilifikia mahali kuna ndege mbili ama tatu zinazofika kila wiki na sikujua kwenye zinapaa zikienda.	Ujao wa ndege ni shida tupu.	92
Basi ilifikia mahali kuna ndege mbili ama tatu zinazofika kila wiki na sikujua kwenye zinapaa zikienda.	Hakuna ndege yoyote inayowasili.	93
Na tayari walikuwa na mazoezi yao katika mkazo mkuu wa suti na imenichukua muda kama utaenda kwa mkazo mzima wa suti.	Inachukua miezi mitatu kukamilisha mafunzo juu ya matumizi ya suti kamili ya shinikizo.	94
Na tayari walikuwa na mazoezi yao katika mkazo mkuu wa suti na imenichukua muda kama utaenda kwa mkazo mzima wa suti.	Mafunzo ya kutumia suti kamili ya shinikizo huchukua muda.	95
Na tayari walikuwa na mazoezi yao katika mkazo mkuu wa suti na imenichukua muda kama utaenda kwa mkazo mzima wa suti.	Tungeweza kukufunza kutumia suti kamili ya shinikizo mwishoni mwa siku.	96
Nataka kusema ya kwamba hakuwa na hatari yoyote ya kuingia na bomu kwa sababu haiwezi kulipuka, licha ya vile ingeanguka kwenye ardhi.	Bomu hilo lilikuwa limezimwa na rubani.	106
Nataka kusema ya kwamba hakuwa na hatari yoyote ya kuingia na bomu kwa sababu haiwezi kulipuka, licha ya vile ingeanguka kwenye ardhi.	Bomu hiyo haikuwa na nafasi ya kulipuka.	107
Nataka kusema ya kwamba hakuwa na hatari yoyote ya kuingia na bomu kwa sababu haiwezi kulipuka, licha ya vile ingeanguka kwenye ardhi.	Kulikuwa na hatari kubwa ya kulipuka bomu.	108
Na jinsi gani inavyofanana hasa na ninachojaribu kufanya.	Sina yakini hii inaonekana kama nini kwako.	109
Na jinsi gani inavyofanana hasa na ninachojaribu kufanya.	Najaribu kufanya hivi, kwa wazi.	110
Na jinsi gani inavyofanana hasa na ninachojaribu kufanya.	Ninajaribu kumaliza mradi wangu kwenye wiki ijayo.	111
Lakini hata hivyo, wanyama wangekuwa huru wakati wote, hasa mbuzi.	,Mbuzi alitoroka alipofungiwa kila siku.	112
Lakini hata hivyo, wanyama wangekuwa huru wakati wote, hasa mbuzi.	Mbuzi zilitoroka mara kwa mara.	113
Lakini hata hivyo, wanyama wangekuwa huru wakati wote, hasa mbuzi.	Mbuzi walikuwa wamewekwa salama.	114
Milango ilifungwa wakati tuliingia.	Milango yote ilikuwa wazi.	118
Milango ilifungwa wakati tuliingia.	Tulikuwa na funguo nasi.	119
Milango ilifungwa wakati tuliingia.	Tuliingia hata ingawa milango ilifungwa.	120
Kwa hivyo nilihitaji tu kuchukua jumla na kujaribu na kuiona kama hiyo.	Ninahisi tumaini kwamba jumla ni yote ninayohitaji kutatua hili.	127
Kwa hivyo nilihitaji tu kuchukua jumla na kujaribu na kuiona kama hiyo.	Sina kidokezo cha kufanya na jumla pekee tafadhali nipatie maelezo zaidi ya kutatua fujo hili.	128
Kwa hivyo nilihitaji tu kuchukua jumla na kujaribu na kuiona kama hiyo.	Mimi nitahesabu kwa msingi wa jumla.	129
Alikuja, akafungua mlango na nakumbuka kuangalia nyuma na kuona 'maelezo' juu ya uso wake, na ningeweza kusema kwamba alikuwa amesikitika.	Alikuwa na msisimko sana na kupasuka kwa furaha kwamba yeye alikuwa ameugonga mlango kutoka fremu yake.	130
Alikuja, akafungua mlango na nakumbuka kuangalia nyuma na kuona 'maelezo' juu ya uso wake, na ningeweza kusema kwamba alikuwa amesikitika.	Alijaribu kutofanya tuhisi hatia lakini tulijua tulimsababisha shida.	131
Alikuja, akafungua mlango na nakumbuka kuangalia nyuma na kuona 'maelezo' juu ya uso wake, na ningeweza kusema kwamba alikuwa amesikitika.	Tu kwa mtazamo kwenye uso wake wakati yeye alikuja kupitia mlango nilijua tu kwamba alikuwa chini.	132
Kwa hivyo, sina hadithi maalum.	Sina na duka fulani.	133
Kwa hivyo, sina hadithi maalum.	Nina duka 1 maalum.	134
Kwa hivyo, sina hadithi maalum.	Kuna maduka mengi.	135
Na ilikuwa, yeye kamwe hakulazimika kufanya kitu chochote kwa ajili yake mwenyewe.	Anapata msaada mwingi.	142
Na ilikuwa, yeye kamwe hakulazimika kufanya kitu chochote kwa ajili yake mwenyewe.	Anapata usaidizi wa vyakula na nguo zake.	143
Na ilikuwa, yeye kamwe hakulazimika kufanya kitu chochote kwa ajili yake mwenyewe.	Yeye ni mtu huru kabisa.	144
Kwa hivyo niko kama, Oh, mungu wangu, na Ramona alikuwa amesimama hapo.	Ramona alikuwa kwenye sakafu akiwa amepotoa nafasi ya kiini.	148
Kwa hivyo niko kama, Oh, mungu wangu, na Ramona alikuwa amesimama hapo.	Ramona alikuwa akinitathmini kisirisiri.	149
Kwa hivyo niko kama, Oh, mungu wangu, na Ramona alikuwa amesimama hapo.	Ramona hakushtuka wakati mimi  nilijaa hofu	150
Na ukweli ni kwamba alikuwa mwepesi!	Alikula chakula kingi, lakini bado alikuwa na uzito wa chini.	154
Na ukweli ni kwamba alikuwa mwepesi!	Yeye hakuwa na uzito sana.	155
Na ukweli ni kwamba alikuwa mwepesi!	Alikuwa na furaha nyingi.	156
Sijui kama alikaa Augusta baada ya hayo.	aliendelea kuishi Augusta hata baada ya mashambulizi	163
Sijui kama alikaa Augusta baada ya hayo.	Aliendelea kuishi katika Augusta.	164
Sijui kama alikaa Augusta baada ya hayo.	Alihama  Augusta mara moja.	165
Wote tumefanya, hawakutuambia mahali popote walipokuwa wanaenda, hata wakati walipoondoka kwenye kambi kwenda mahali pengine kukaa kwa muda.	Sikuuliza wapi wanaenda.	166
Wote tumefanya, hawakutuambia mahali popote walipokuwa wanaenda, hata wakati walipoondoka kwenye kambi kwenda mahali pengine kukaa kwa muda.	Kila wakati walitufahamisha walipokua na ambapo wanaenda.	167
Wote tumefanya, hawakutuambia mahali popote walipokuwa wanaenda, hata wakati walipoondoka kwenye kambi kwenda mahali pengine kukaa kwa muda.	Hawakutuambia kamwe walikokuwa wakienda.	168
Wakasema, Tunalipia mahali ambapo utakaa.	Hawatalipia kitu chochote kwa niaba yetu.	175
Wakasema, Tunalipia mahali ambapo utakaa.	Wao wanalipa nyumba kwa ajili yangu na ndugu zangu.	176
Wakasema, Tunalipia mahali ambapo utakaa.	Wanalipia makaazi.	177
Wajua siku iliyofuata Rais Kennedy alizuilia Cuba na meli zetu zikasimamisha meli moja ya Urusi ilikuwa ikielekea Cuba na wakapata vilipuzi ndani.	Kennedy aliwaambia askari wetu watafute makombora.	178
Wajua siku iliyofuata Rais Kennedy alizuilia Cuba na meli zetu zikasimamisha meli moja ya Urusi ilikuwa ikielekea Cuba na wakapata vilipuzi ndani.	Hawakusimamisha meli yoyote kwa sababu hawakutaka mgongano.	179
Wajua siku iliyofuata Rais Kennedy alizuilia Cuba na meli zetu zikasimamisha meli moja ya Urusi ilikuwa ikielekea Cuba na wakapata vilipuzi ndani.	Walipata makombora 20 kwa meli.	180
Mwanaume huingia kwa vyovyote vile.	Bwana huyo aliingia kwenye chumba cha mahakama.	181
Mwanaume huingia kwa vyovyote vile.	Mwanaume aliingia chumbani.	182
Mwanaume huingia kwa vyovyote vile.	Mwanaume alikimbia kwa njia nyingine.	183
Mababu zangu walikuwa watu wenye mapenzi sana na wengine wa wazazi wangu walikuwa na na wakati mzuri sana kukaa nao.	Ilichukua muda mrefu kuendesha gari kwa nyumba ya babu yangu.	184
Mababu zangu walikuwa watu wenye mapenzi sana na wengine wa wazazi wangu walikuwa na na wakati mzuri sana kukaa nao.	Babu zangu walikuwa wapenzi waliopendana.	185
Mababu zangu walikuwa watu wenye mapenzi sana na wengine wa wazazi wangu walikuwa na na wakati mzuri sana kukaa nao.	Babu na bibi zetu walikuwa na hasira kila wakati na hatukupenda kuenda kwao.	186
Sikuwa na muda wa kuingia katika kila aina ya chochote.	Ningemaliza kuiingiza ndani baadaye.	196
Sikuwa na muda wa kuingia katika kila aina ya chochote.	Niliingiza yote kwa wakati mmoja.	197
Sikuwa na muda wa kuingia katika kila aina ya chochote.	Nilipoteza muda wa kuingiza yote ndani.	198
Mojawapo ya kazi zangu ilikuwa kufunza watu jinsi ya kuweka maparachuti kwenye silaha za nyuklia ambazo hufanya bomu ilipuke kivyake.	Bomu la atomiki halina mwanzilishi.	199
Mojawapo ya kazi zangu ilikuwa kufunza watu jinsi ya kuweka maparachuti kwenye silaha za nyuklia ambazo hufanya bomu ilipuke kivyake.	Chumba hukomboa bomu wakati kinavutwa.	200
Mojawapo ya kazi zangu ilikuwa kufunza watu jinsi ya kuweka maparachuti kwenye silaha za nyuklia ambazo hufanya bomu ilipuke kivyake.	Unahitaji nguvu kidogo tu ili kuvuta trigger ya bomu ya atomiki.	201
Bibi yangu alikuwa ananiambia hadithi nyingi kuhusu miaka yake alipokuwa anakuwa mkubwa, hasa, uh, alikuwa anazungumza juu ya familia yake, na jinsi ilivyokuwa wakati huo.	Nilifurahia wakati wote kusikiliza hadithi za nyanya yangu.	202
Bibi yangu alikuwa ananiambia hadithi nyingi kuhusu miaka yake alipokuwa anakuwa mkubwa, hasa, uh, alikuwa anazungumza juu ya familia yake, na jinsi ilivyokuwa wakati huo.	Nyanyangu alikataa kuongea kuhusu utoto wake.	203
Bibi yangu alikuwa ananiambia hadithi nyingi kuhusu miaka yake alipokuwa anakuwa mkubwa, hasa, uh, alikuwa anazungumza juu ya familia yake, na jinsi ilivyokuwa wakati huo.	Nyanya yangu aliniambia mambo mengi kuhusu familia yake wakati alikua.	204
Shinikizo kuu linafaa ndege,kana lile  wana anga wanafaa kuliko letu lenye  fedha tupu,fedha ehe kutoka viatu hadi kila kitu,kuzuia joto.	Suti zetu hazikuwa kama zile wanasayansi walikuwa nazo.	205
Shinikizo kuu linafaa ndege,kana lile  wana anga wanafaa kuliko letu lenye  fedha tupu,fedha ehe kutoka viatu hadi kila kitu,kuzuia joto.	Suti zetu zilikuwa sawa na wanaanga isipokuwa kufuatisha joto, zetu zilikuwa fedha.	206
Shinikizo kuu linafaa ndege,kana lile  wana anga wanafaa kuliko letu lenye  fedha tupu,fedha ehe kutoka viatu hadi kila kitu,kuzuia joto.	Unaeza pata hizo suti kwa rangi yeyote unayo taka.	207
Na alikuwa, babu yangu hakuwa mtu mzuri.	Babu yangu alikuwa mkali.	208
Na alikuwa, babu yangu hakuwa mtu mzuri.	Babu yangu alikuwa mbaguzi wa rangi na mkali.	209
Na alikuwa, babu yangu hakuwa mtu mzuri.	Babu yangu alikuwa mtu mzuri sana utakayekutana  naye!	210
Ni ndege 30 au 40  za U2, na tulianza mafunzo ya majaribio ya marubani wa Kichina, marubani wa Uingereza ndani yao, kote duniani, ulimwengu ambao tulikuwa washirika nao.	Hatukuwa na mafunzo na mtu yeyote.	211
Ni ndege 30 au 40  za U2, na tulianza mafunzo ya majaribio ya marubani wa Kichina, marubani wa Uingereza ndani yao, kote duniani, ulimwengu ambao tulikuwa washirika nao.	Tulifunzwa wiki tano na wagereza.	212
Ni ndege 30 au 40  za U2, na tulianza mafunzo ya majaribio ya marubani wa Kichina, marubani wa Uingereza ndani yao, kote duniani, ulimwengu ambao tulikuwa washirika nao.	Tulitreni na wanajeshi wengine wengi.	213
Kwa hivyo, yeye alikuwa kama, tutaangalia, na kufanya upelelezi katika kampuni fulani kwa fulani.	Hakuniongelesha.	214
Kwa hivyo, yeye alikuwa kama, tutaangalia, na kufanya upelelezi katika kampuni fulani kwa fulani.	aliniambia niangalie vitu fulani	215
Kwa hivyo, yeye alikuwa kama, tutaangalia, na kufanya upelelezi katika kampuni fulani kwa fulani.	Aliniambia nisome kuhusu mambo yao ya kifedha.	216
Alisema walikuwa wameenda kaskazini.	Alisema kuwa walisimama mara kadhaa njiani.	217
Alisema walikuwa wameenda kaskazini.	Alisema yakwamba walienda chini kusini.	218
Alisema walikuwa wameenda kaskazini.	Alisema walikwenda juu kaskazini.	219
Um, hapana, kuwa waaminifu, sijawahi kusoma vitabu vyovyote nilivyotakiwa kusoma.	Sijasoma kitabu chenye kurasa zaidi ya 100.	235
Um, hapana, kuwa waaminifu, sijawahi kusoma vitabu vyovyote nilivyotakiwa kusoma.	Sijasoma vitabu vingi.	236
Um, hapana, kuwa waaminifu, sijawahi kusoma vitabu vyovyote nilivyotakiwa kusoma.	Nasoma vitabu kila siku.	237
Nilikwenda na nikachukua mizigo mbeleni na nilitazama anwani niliyopaswa	Niliacha begi na kutafakari kwamba haikuwa tatizo langu.	238
Nilikwenda na nikachukua mizigo mbeleni na nilitazama anwani niliyopaswa	Nilichukua mfuko huo kwenye chumba chake.	239
Nilikwenda na nikachukua mizigo mbeleni na nilitazama anwani niliyopaswa	Nilichukua mfuko huo hadi ulipofaa.	240
Kubadilika huko kwa hisia kulikuwa kwa ajabu.	Hisia zake zilibaki thabiti kabisa.	241
Kubadilika huko kwa hisia kulikuwa kwa ajabu.	Alitoka kuwa mwenye furaha hadi huzuni.	242
Kubadilika huko kwa hisia kulikuwa kwa ajabu.	Hisia ilibadilika sana.	243
Wao, wamenichagua juu ya watu 15 huko, kwenda kwenye shule hiyo na mimi siendi.	Sikuchaguliwa kuhudhuria shule hiyo.	244
Wao, wamenichagua juu ya watu 15 huko, kwenda kwenye shule hiyo na mimi siendi.	Nilichaguliwa kwenda katika ile shule.	245
Wao, wamenichagua juu ya watu 15 huko, kwenda kwenye shule hiyo na mimi siendi.	Nilikuwa mgombea wa kuaminika zaidi.	246
Wanapaswa kupitia vyumba kadhaa vya urefu, uh, hupanda kabla ya kuanza kupaa na U2's au kuruka kwa suti za pumzi.	Watu wengi huanguka mitihani na wasiwahi kusafiri kupitia U2.	247
Wanapaswa kupitia vyumba kadhaa vya urefu, uh, hupanda kabla ya kuanza kupaa na U2's au kuruka kwa suti za pumzi.	Lazima wapate mafunzo mengi sana, kabla waweze kuendesha denge aina ya U2.	248
Wanapaswa kupitia vyumba kadhaa vya urefu, uh, hupanda kabla ya kuanza kupaa na U2's au kuruka kwa suti za pumzi.	Wanakuwacha upae U2s siku ya kwanza.	249
Ninasitara  kixtu hicho hicho pia.	Mimi hufunika kabisa vifaa mpya.	253
Ninasitara  kixtu hicho hicho pia.	Ninashughulikia vitu kama majarida wengine.	254
Ninasitara  kixtu hicho hicho pia.	Ninazungumzia mambo yale yale waliyofanya.	255
Hii ndio mara ya kwanza ishawahi kufanyika miaka 75 iliyopita vile TX yakutengeneza sheria ilipiga kura kupitisha kikosi ya wanajeshi kuwa mabalozi wa TX, kwa hivyo walitaka mabalozi wa TX.	Vitengo vya kijeshi haviruhusiwi kuwa mabalozi wa TX.	256
Hii ndio mara ya kwanza ishawahi kufanyika miaka 75 iliyopita vile TX yakutengeneza sheria ilipiga kura kupitisha kikosi ya wanajeshi kuwa mabalozi wa TX, kwa hivyo walitaka mabalozi wa TX.	Kitengo cha kijeshi iliitajwa kama wakilishi wa TX kwa Congress ya Marekani.	257
Hii ndio mara ya kwanza ishawahi kufanyika miaka 75 iliyopita vile TX yakutengeneza sheria ilipiga kura kupitisha kikosi ya wanajeshi kuwa mabalozi wa TX, kwa hivyo walitaka mabalozi wa TX.	Hicho kitengo cha jeshi kiliitwa Mabalozi wa TX.	258
Kama kuna jambo lolote ambalo naweza kufanya.	Ninaweza kufanya jambo.	259
Kama kuna jambo lolote ambalo naweza kufanya.	Nilijua hakuna kitu ambacho ningeweza kufanya.	260
Kama kuna jambo lolote ambalo naweza kufanya.	Nadhani ningefanya jambo kumwokoa.	261
Alichukia hilo, na alikuwa akimwambia dada yake kila siku, alisema hivyo, kwamba unafanya vibaya.	Alizoea kutia moyo dadake.	262
Alichukia hilo, na alikuwa akimwambia dada yake kila siku, alisema hivyo, kwamba unafanya vibaya.	Alitoa wazi kwamba dada yake hakuweza chochote sahihi.	263
Alichukia hilo, na alikuwa akimwambia dada yake kila siku, alisema hivyo, kwamba unafanya vibaya.	Alikuwa na uchungu sana kwa dada yake.	264
Kwa hiyo nilikwenda nyumbani kwake na kisha nikapiga simu kwa nambari hii niliyopaswa kupiga nifikapo.	Niliomba simu yake ili nipige.	268
Kwa hiyo nilikwenda nyumbani kwake na kisha nikapiga simu kwa nambari hii niliyopaswa kupiga nifikapo.	Niliita ile nambari wakati nilipofika nyumbani kwake.	269
Kwa hiyo nilikwenda nyumbani kwake na kisha nikapiga simu kwa nambari hii niliyopaswa kupiga nifikapo.	Nilitakiwa kupiga simu, lakini sikufanya	270
Vyema nafika pale leo asubuhi na,nasahau ni vipi, nafikiria labda niliuliza swali na akaja humu ndani ama, vyovyote.	Sikuenda leo kwa hivyo sikumwona.	271
Vyema nafika pale leo asubuhi na,nasahau ni vipi, nafikiria labda niliuliza swali na akaja humu ndani ama, vyovyote.	Nilionyesha kwenye mazoezi ya leo na akaja baadaye na akasema hi.	272
Vyema nafika pale leo asubuhi na,nasahau ni vipi, nafikiria labda niliuliza swali na akaja humu ndani ama, vyovyote.	Nilionekana asubuhi nayeye pia akaja.	273
Hatukujua ni wapi walienda.	Hatukujua ni wapi kundi hilo lilikuwa linasafari kwenye barabara ya interstate.	274
Hatukujua ni wapi walienda.	Hatukujia watu walisafiri kwenda wapi.	275
Hatukujua ni wapi walienda.	Tulijua tu walipoelekea.	276
Sikufiria tena. Nilikuwa na njaa na nilitaka kula.	Sikukuwa na hamu ya chakula kabisa.	277
Sikufiria tena. Nilikuwa na njaa na nilitaka kula.	Nilikuwa nahisi njaa hivyo basi nikaamua kula chakula changu cha mchana.	278
Sikufiria tena. Nilikuwa na njaa na nilitaka kula.	Nilikuwa na njaa na kwa hivyo nikaenda kwenye mkahawa.	279
Kwa hiyo na niruhusu nikwambie nimefikia hatua leo ambapo nilikuwa karibu kuacha.	Ilikuwa karibu nijiondoe.	283
Kwa hiyo na niruhusu nikwambie nimefikia hatua leo ambapo nilikuwa karibu kuacha.	Nilikuwa nimehuzunika sana kutoka kwao kwamba singeweza tena.	284
Kwa hiyo na niruhusu nikwambie nimefikia hatua leo ambapo nilikuwa karibu kuacha.	Haikuingia kamwe kwa mawazo yangu kujiuzulu.	285
Alizaliwa kipindi cha mwaka wa 1988-1989 hivi nikidhani.	Alizaliwa kabla ya 1900	292
