sentence1	sentence2	pairID
ہم اس ہی کو بچانا چاھتے تھے کیونکہ 20 میگا ٹن بم کو پھینکنے کا کوۂی طریکہ نہیں تھا	ہم h بم کو بچا کر رکھنا چاہتے تھے کیونکہ اس سے نمٹنا بہت مشکل تھا۔	21
تو میں بالکل پر یقین نہیں ہوں کہ کیوں۔	مجھے یقین ہے کہ یہ اس وجہ سے ہے۔	28
تو میں بالکل پر یقین نہیں ہوں کہ کیوں۔	mjhey nahi maloom k usne school kiun badla.	29
تو میں بالکل پر یقین نہیں ہوں کہ کیوں۔	مجھے پتہ نہیں کیوں ایسا ہوا	30
یہ فینی فلونیو ہے,اور وہ  آگ- استانا میں بڑی ہوی،جارجیا,اور وہ اپنے بچپن سے کچھ کہانیوں کے بارے میں بات کرنے جا رہی ہے.	فینی فلونو کو دوبار پلان کرنا پڑا اور وہ آج ہمیں کوئی نئی کہانی نہیں سنا سکتی.	34
یہ فینی فلونیو ہے,اور وہ  آگ- استانا میں بڑی ہوی،جارجیا,اور وہ اپنے بچپن سے کچھ کہانیوں کے بارے میں بات کرنے جا رہی ہے.	Fannie Flono yahan a gi hain or wo hum se apnay bachpan ki kahaniyan August, GA mein baray honay kay bare mein batain gi	35
یہ فینی فلونیو ہے,اور وہ  آگ- استانا میں بڑی ہوی،جارجیا,اور وہ اپنے بچپن سے کچھ کہانیوں کے بارے میں بات کرنے جا رہی ہے.	اپنے مصروف شیڈول کے باوجود فینی فلونو آج ہمارے ساتھ بات کرسکیں۔	36
اور میں نے 5 میں سے دو علیحدہ کئے تھے۔	میں نےسارے معاملہ U 2 کے ساتھ طع کر لیے ھے	40
اور میں نے 5 میں سے دو علیحدہ کئے تھے۔	میں نے یو2 کے ساتھ نمٹنے نہیں کیا تھا.	41
اور میں نے 5 میں سے دو علیحدہ کئے تھے۔	کے لئے چالیس سالوں کے لئے کھدائی کے ساتھ کام کیا U2 میں نے ہر روز	42
Mai akela hi tha jisne kabhi chote altitude chambers test karne kai lye regulators ko run kiya tha.	ٹیسٹ کے لئے ریگولیٹرز کو چلانے میں مجھے بالکل تنہا ہونا پسند نہیں آیا۔	43
Mai akela hi tha jisne kabhi chote altitude chambers test karne kai lye regulators ko run kiya tha.	یہ جانچیں کم اونچائی کے کمروں میں انجام دی جاتی ہیں۔	44
Mai akela hi tha jisne kabhi chote altitude chambers test karne kai lye regulators ko run kiya tha.	ہم میں سے کچھ ہی تھے جنہوں نے امتہان کی نگرانی کی	45
میری جنس بہت دلچسپ ہے	میں ابھی آج تک کام کر رہا/رہی ہوں۔	46
میری جنس بہت دلچسپ ہے	میں 2002 میں ریٹائر ہوا/ہوئی۔	47
میری جنس بہت دلچسپ ہے	ریک نے آپ کو بتایا تھا کہ میں ریٹائرڈ ہوگیا ہوں۔	48
میری میز پر کچھ کاش فلو کے تخمينيں ہيں اور وہ  کسی کٹی کے لۂے ہیں، وہ مؤکل کا نام ہے۔	کٹی نامی مؤکل ہر ماہ 10000 ڈالر کماتا ہے۔	52
میری میز پر کچھ کاش فلو کے تخمينيں ہيں اور وہ  کسی کٹی کے لۂے ہیں، وہ مؤکل کا نام ہے۔	کٹیٹی نام ک ایک گاہک ہے.	53
میری میز پر کچھ کاش فلو کے تخمينيں ہيں اور وہ  کسی کٹی کے لۂے ہیں، وہ مؤکل کا نام ہے۔	Hamaray pass Cutty nam ke koi ghak nahi hain.	54
جو لڑکی میری مدد کرسکتا ہے وہ شہر بھر میں ہے	میں جس لڑکی کی مدد کرنا چاہتا ہوں وہ کچھ دور پر رہتی ہے۔	55
جو لڑکی میری مدد کرسکتا ہے وہ شہر بھر میں ہے	جو لڑکی میری مدد کرنے والی ہے 5 میل دور ہے.	56
جو لڑکی میری مدد کرسکتا ہے وہ شہر بھر میں ہے	ادر ایسا کوئی بھی نہیں جو میری مدد کر سکے	57
لیکن وہ اس طرح تقسیم ہوئے تھے جیسے فیلڈ ہاتھ تھے اور جو گھر کے بچوں تھے،یہ قسم کی تھی --	سب نے اتفاق کیا کہ سب کے سب فیلڈ میں کام کریں گے۔	61
لیکن وہ اس طرح تقسیم ہوئے تھے جیسے فیلڈ ہاتھ تھے اور جو گھر کے بچوں تھے،یہ قسم کی تھی --	وہ اس سلسلہ میں اتفاق نہ کرسکے کہ کوں باہر کام کرے گا اور کون گھر کا نظم دیکھے گا۔	62
لیکن وہ اس طرح تقسیم ہوئے تھے جیسے فیلڈ ہاتھ تھے اور جو گھر کے بچوں تھے،یہ قسم کی تھی --	وہ اس بات پر اتفاق نہیں کرسکے کہ کون روئی کے کھیت میں کام کرے گا اور کون فرش کی صفائی کرے گا۔	63
آج وہ ہم سے                                             سوم SS,   U2 Quick اور Blackbird        کے بارے میں  بات کرنے والا ہے۔	انہوں نے اب مزید گفتگو نہ کرنے کا فیصلہ لیا ہے۔	67
آج وہ ہم سے                                             سوم SS,   U2 Quick اور Blackbird        کے بارے میں  بات کرنے والا ہے۔	وہ تین مختلف آبدوز کے بارے میں بات کرتے ہیں	68
آج وہ ہم سے                                             سوم SS,   U2 Quick اور Blackbird        کے بارے میں  بات کرنے والا ہے۔	وہ تین چیزوں کے بارے میں بات کرتا ہے	69
میرا مطلب یہ ہے کہ وہ صرف جیسے ہی تھے، ان کے پانچ بچے تھے، ان میں سے ایک مر گیا.	ان کے تمام بچے بچ گئے	70
میرا مطلب یہ ہے کہ وہ صرف جیسے ہی تھے، ان کے پانچ بچے تھے، ان میں سے ایک مر گیا.	panch mein se aik bacha marr gya.	71
میرا مطلب یہ ہے کہ وہ صرف جیسے ہی تھے، ان کے پانچ بچے تھے، ان میں سے ایک مر گیا.	جس بچہ کا انتقال ہوا ہے وہ بیمار پیدا ہوا تھا۔	72
اور ظاہر ہے ، اندروف گرومیکوف نے کوۂی جواب نہیں دی ، لیکن ہمارے پاس یو ٹو کے فلم کہ وجع سے ساری معلومات تھی	یو2 نے بہت ساری فلمیں حاصل کیں۔	73
اور ظاہر ہے ، اندروف گرومیکوف نے کوۂی جواب نہیں دی ، لیکن ہمارے پاس یو ٹو کے فلم کہ وجع سے ساری معلومات تھی	U2 نے پانی کے نیچے سے ٹنوں فلم لی۔	74
اور ظاہر ہے ، اندروف گرومیکوف نے کوۂی جواب نہیں دی ، لیکن ہمارے پاس یو ٹو کے فلم کہ وجع سے ساری معلومات تھی	ہمارے پاس کوئی تصاویر نہیں تھیں، تو ہمیں بس اندازہ لگانا پڑا.	75
اس نے کہا کے اس کی آنکھیں سے آنسو بہ رہی تھیں ، پھر جو چھتاً پر آگیا	جوں ہی اس نے اس سے دیوڑھی میں آنے کو کہا اس کی آنکھوں میں آنسو آگئے۔	76
اس نے کہا کے اس کی آنکھیں سے آنسو بہ رہی تھیں ، پھر جو چھتاً پر آگیا	جو کو دہلیز سے باہر چھوڑنے کے بعد اس نے جلدی سے آنسو پونچھ ڈالے۔	77
اس نے کہا کے اس کی آنکھیں سے آنسو بہ رہی تھیں ، پھر جو چھتاً پر آگیا	وہ جاو کو دیکھ کر اتنا خوش ہوئی کہ رونے لگ گئی۔	78
اگر جہاز کو آگ لگ بھی جاتی ، جل کے ، لیڈ کے جزو سے بہار پگلنا پرتا ، ، اور اس کے بعد ہی تابکاری باہر نکلتا ۔	آگ لگنے کی صورت میں بھی شعاعوں کو قابو میں کیا جاسکتا ہے۔	79
اگر جہاز کو آگ لگ بھی جاتی ، جل کے ، لیڈ کے جزو سے بہار پگلنا پرتا ، ، اور اس کے بعد ہی تابکاری باہر نکلتا ۔	جہاز کے جلنے کے بعد تابکاری ایک لیڈ کے جزو سے لیک هوجائے گی	80
اگر جہاز کو آگ لگ بھی جاتی ، جل کے ، لیڈ کے جزو سے بہار پگلنا پرتا ، ، اور اس کے بعد ہی تابکاری باہر نکلتا ۔	آگ لگنے کے دوران شعاع بالکل لیک نہیں کرے گی۔	81
یہ صردار ماسٹر  افسر کلیم فرانسس ، امریکی ایر فورس سے رٹاۂر کر چکيں ہیں۔	Cheif US Air Force se retire ho gaya hai.	88
یہ صردار ماسٹر  افسر کلیم فرانسس ، امریکی ایر فورس سے رٹاۂر کر چکيں ہیں۔	چیف حال ہی میں چند ہفتے قبلکام سے فارغ ہوۓ۔	89
یہ صردار ماسٹر  افسر کلیم فرانسس ، امریکی ایر فورس سے رٹاۂر کر چکيں ہیں۔	امریکی ائیر فورس چیف نے ابھی  اس ہفتہ سے اپنے کیریئر کا آغاز کیا ہے۔	90
نوبت یہاں تک پہنچ گئی ہے کہ ایک ہفتے میں دو یا تین ہوائی جہاز آتے ہیں اور مجھے نہیں پتہ کہ وہ اڑ کر کہاں جا رہے ہیں.	.ایک سے زیادہ طیارے ہر ہفتے پہنچتے ہیں	91
نوبت یہاں تک پہنچ گئی ہے کہ ایک ہفتے میں دو یا تین ہوائی جہاز آتے ہیں اور مجھے نہیں پتہ کہ وہ اڑ کر کہاں جا رہے ہیں.	بڑھتی ہوئی ہوائی جہازکی آمدورفت مصیبت ہے	92
نوبت یہاں تک پہنچ گئی ہے کہ ایک ہفتے میں دو یا تین ہوائی جہاز آتے ہیں اور مجھے نہیں پتہ کہ وہ اڑ کر کہاں جا رہے ہیں.	یہاں پر کبھی بھی کوئی طیارہ نہیں اترتا ہے۔	93
انہوں نے پہلے سے ہی مکمل دباوں کے لباس میں ٹرینينگ کر لی تھی ، مجھے تھوری دیر لگی۔	تمام پریشر سوٹ کو استعمال کرنے کی ٹریننگ حاصل کرنے میں تین ماہ کا وقت لگتا ہے۔	94
انہوں نے پہلے سے ہی مکمل دباوں کے لباس میں ٹرینينگ کر لی تھی ، مجھے تھوری دیر لگی۔	Full pressure suit ko istimkal kerne ki tarteeb waqt leti hai.	95
انہوں نے پہلے سے ہی مکمل دباوں کے لباس میں ٹرینينگ کر لی تھی ، مجھے تھوری دیر لگی۔	ہم آپ کو دن کے آخر تک مکمل دباؤ والے سوٹ استعمال کرنے کی تربیت دے سکتے تھے۔	96
میں کہنا چاھتا ہوں ، کے کوۂی خطرہ نہیں تھا ، کیونکہ اگر بم زمین پر ضور سے گر بھی جاتا ، تب ھی نہیں پھٹتا۔	پائلٹ کی طرف سے بم کو غیر فعال کردیا گیا تھا	106
میں کہنا چاھتا ہوں ، کے کوۂی خطرہ نہیں تھا ، کیونکہ اگر بم زمین پر ضور سے گر بھی جاتا ، تب ھی نہیں پھٹتا۔	بم کے پھٹنے کا کوئی امکان نہیں تھا.	107
میں کہنا چاھتا ہوں ، کے کوۂی خطرہ نہیں تھا ، کیونکہ اگر بم زمین پر ضور سے گر بھی جاتا ، تب ھی نہیں پھٹتا۔	وہاں بم پھٹنے کا بڑا خطرہ تھا۔	108
اور اس طرح کی طرح ایسا لگتا ہے کہ میں وہی کرنے کی کوشش کر رہا ہوں.	مجھ کو نہیں معلوم ہے کہ یہ آپ کو کیسا لگتا ہے۔	109
اور اس طرح کی طرح ایسا لگتا ہے کہ میں وہی کرنے کی کوشش کر رہا ہوں.	ظاہر ہے میں یہ کرنے کی کوشش کر رہا ہوں.	110
اور اس طرح کی طرح ایسا لگتا ہے کہ میں وہی کرنے کی کوشش کر رہا ہوں.	میں اگلے ہفتے میں اپنے منصوبے کو ختم کرنے کی کوشش کر رہا ہوں	111
لیکن خیر، جانور ہر وقت چھوٹ جاتے تھے، خاص طور پر بکریاں.	بکریاں ہر روز بارہ سے بھاگ گیں.	112
لیکن خیر، جانور ہر وقت چھوٹ جاتے تھے، خاص طور پر بکریاں.	بکریاں اکثر بچ نکلیں۔	113
لیکن خیر، جانور ہر وقت چھوٹ جاتے تھے، خاص طور پر بکریاں.	بکریوں کو  محفوظ رکھا گیا تھا۔	114
جب ہم اندر گئے تو دروازے بند کردیئے گئے	تمام دروازے کھلے تھے	118
جب ہم اندر گئے تو دروازے بند کردیئے گئے	hmarey pass chabian maujood thy.	119
جب ہم اندر گئے تو دروازے بند کردیئے گئے	اگرچہ دروازے بند تھے، ہم پھر بھی اندر چلے گۓ۔	120
تو مجھے کل رقم لے کر حساب کرنا پرا تھا۔	میں اس بات  پر اعتماد ہوں کہ اسے معلوم کرنے کے لئے مجھے صرف ٹوٹل معلوم کرنے ہیں۔	127
تو مجھے کل رقم لے کر حساب کرنا پرا تھا۔	مجھے کوئی اندازہ نہیں کہ صرف کل تعداد سے کیا کرنا ہے، براہ مہربانی مجھے مزید تفصیلات فراہم کیجئے اس الجھن کو سلجھانے کے لئے.	128
تو مجھے کل رقم لے کر حساب کرنا پرا تھا۔	میں مجموعہ کی بنیاد پر اس کا شمار کروں گا۔	129
وہ آیا، اس نے دروازہ کھولا اور مجھے یاد ہے میں نے مڑ کر دیکھا اور اس کے چہرے کے تاثرات دیکھ کر میں بتا سکتا تھا کہ وہ مایوس ہو گیا تھا ۔	وہ بہت پرجوش تھا اور خوشی سے اس قدر پھول رہا تھا کہ اس نے دروازے کو کھٹکھٹا کر عملاً اسے فریم سے اکھاڑ دیا.	130
وہ آیا، اس نے دروازہ کھولا اور مجھے یاد ہے میں نے مڑ کر دیکھا اور اس کے چہرے کے تاثرات دیکھ کر میں بتا سکتا تھا کہ وہ مایوس ہو گیا تھا ۔	Wo humain bura mehsoos karwana chah raha tha, lykun humain pata tha ke humari waja se usko mushkil hui thi.	131
وہ آیا، اس نے دروازہ کھولا اور مجھے یاد ہے میں نے مڑ کر دیکھا اور اس کے چہرے کے تاثرات دیکھ کر میں بتا سکتا تھا کہ وہ مایوس ہو گیا تھا ۔	جیسے ہی وہ دروازے سے داخل ہوا اس کا چہرہ دیکھ کر ہی میں نے جان لیا کہ وہ مایوس تھا۔	132
لہذا، مجھے کوئی خاص کہانی نہیں ہے.	میرا کوئی مخصوص سٹور نہیں ہے۔	133
لہذا، مجھے کوئی خاص کہانی نہیں ہے.	میرے پاس 1 مخصوص اسٹور ہے	134
لہذا، مجھے کوئی خاص کہانی نہیں ہے.	بہت سارے اسٹورز ہیں	135
Aur ye tha, Use kabhi apne lye kuch nahi karna para tha.	اسے  بہت مدد ملتے ہے	142
Aur ye tha, Use kabhi apne lye kuch nahi karna para tha.	وہ اپنے کھانوں اور کپڑوں سے مدد حاصل کرتا ہے۔	143
Aur ye tha, Use kabhi apne lye kuch nahi karna para tha.	وہ بہت آزاد ہے.	144
تو میں پسند کرتا ہوں، اوہ میرے خدا، اور رامون وہاں کھڑا تھا.	رومانہ زمین پر گول مول ہوئی سمٹی  پڑی تھی۔	148
تو میں پسند کرتا ہوں، اوہ میرے خدا، اور رامون وہاں کھڑا تھا.	Ramona khamooshi se mjhey janch rahi thy.	149
تو میں پسند کرتا ہوں، اوہ میرے خدا، اور رامون وہاں کھڑا تھا.	جب میں وہاں موجود تھا تو رامونا اوپر تھی۔	150
اور حقیقت یہ ہے کہ وہ روشنی تھی	وہ بہت کھاتی تھی، لیکن پھر بھی اس نے اپنا وزن کم رکھا.	154
اور حقیقت یہ ہے کہ وہ روشنی تھی	اس کا وزن بالکل بھی زیادہ نہیں تھا۔	155
اور حقیقت یہ ہے کہ وہ روشنی تھی	وہ بہت خوش تھی۔	156
مجھے نہیں پتا اگر اس کے بعد وہ اغستہ میں رہا یا نہیں	woh hamlon k baad bhi Augusta mein rehta raha.	163
مجھے نہیں پتا اگر اس کے بعد وہ اغستہ میں رہا یا نہیں	وہ آگسٹا میں رہتا رہا۔	164
مجھے نہیں پتا اگر اس کے بعد وہ اغستہ میں رہا یا نہیں	woh fori torr pe Augusta se bahir shift ho gaya.	165
ہم سب نے کئے ہیں، انہوں نے ہمیں کسی ایسی جگہ نہیں بتائی جسے وہ جا رہے تھے، یہاں تک کہ جب وہ بیس بیس سے زائد عرصہ تک رہنے کے لئے کہیں اور جانے کے لئے جاتے تھے.	میں نے کبھی نہیں پوچھا کہ وہ کہاں جا رہے تھے	166
ہم سب نے کئے ہیں، انہوں نے ہمیں کسی ایسی جگہ نہیں بتائی جسے وہ جا رہے تھے، یہاں تک کہ جب وہ بیس بیس سے زائد عرصہ تک رہنے کے لئے کہیں اور جانے کے لئے جاتے تھے.	وہ ہمیشہ ہمیں بتاتے تھے کہ وہ کہاں ہیں اور کہاں جا رہے ہیں۔	167
ہم سب نے کئے ہیں، انہوں نے ہمیں کسی ایسی جگہ نہیں بتائی جسے وہ جا رہے تھے، یہاں تک کہ جب وہ بیس بیس سے زائد عرصہ تک رہنے کے لئے کہیں اور جانے کے لئے جاتے تھے.	Unhoon ne hamain kabhi bhi nahi batya ke ham kahan ja rahe thay.	168
انہوں نے کہا، ہم آپ کے ٹھہرنے کے لئے جگہ کی قیمت ادا کر رہے ہیں.	وہ لوگ ہمارے لیے کسی بھی چیز کی ادائیگی نہیں کریں گے۔	175
انہوں نے کہا، ہم آپ کے ٹھہرنے کے لئے جگہ کی قیمت ادا کر رہے ہیں.	وہ میرے اور میرے بھائی بہنوں کی رہائش کا خرچہ اٹھا رہے ہیں.	176
انہوں نے کہا، ہم آپ کے ٹھہرنے کے لئے جگہ کی قیمت ادا کر رہے ہیں.	وہ ٹھہرنے کی قیمت ادا کررہے ہیں۔	177
پھر دوسرے دن صدر کینڈی نے کوبا کی ناکہ بندی کی ، اور ہمارے جہاز نے ایک روسی جہاز کو روکا جو کہ کوبا کی طرف آرہی تھی، اس میں ان کو میزاۂل ملے۔	کنیڈی نے ہمارے فوجیوں کو میزائیل مہیا کرانے کے لئے کہا۔	178
پھر دوسرے دن صدر کینڈی نے کوبا کی ناکہ بندی کی ، اور ہمارے جہاز نے ایک روسی جہاز کو روکا جو کہ کوبا کی طرف آرہی تھی، اس میں ان کو میزاۂل ملے۔	انھوں نے کسی بھی جہاز کو نہیں روکا کیوں کہ وہ لوگ تصادم نہیں چاہتے تھے۔	179
پھر دوسرے دن صدر کینڈی نے کوبا کی ناکہ بندی کی ، اور ہمارے جہاز نے ایک روسی جہاز کو روکا جو کہ کوبا کی طرف آرہی تھی، اس میں ان کو میزاۂل ملے۔	انہوں نے جہاز پر 20 میزائل پایا	180
بہارل وہ آدمی اندر اجاتا ہے	آدمی عدالت میں داخل ہوا	181
بہارل وہ آدمی اندر اجاتا ہے	آدمی کمرے میں داخل ہوا۔	182
بہارل وہ آدمی اندر اجاتا ہے	Wo admi dosri tarf bhaag giya	183
میرے دادا دادی بہت بہت پیار کرنے والے لوگ تھے ، ان کے ساتھ بڑا مزہ آتا تھا۔	مجھے اپنے دادا کے گھر جانے میں ایک طویل وقت لگا۔	184
میرے دادا دادی بہت بہت پیار کرنے والے لوگ تھے ، ان کے ساتھ بڑا مزہ آتا تھا۔	.میرے دادا نگار ایک بہت ہی پیارا جوڑے تھے	185
میرے دادا دادی بہت بہت پیار کرنے والے لوگ تھے ، ان کے ساتھ بڑا مزہ آتا تھا۔	meray dada dadi hmaisha se kafi khabty thy aur hmain kabhi unke ghar jana pasand nahi tha.	186
میرے پاس ہر چیز میں حصہ لینے کے لۂے فضول وقت نہیں ہے	میں بعد میں اس کو داخل کرسکتا تھا۔	196
میرے پاس ہر چیز میں حصہ لینے کے لۂے فضول وقت نہیں ہے	میں وقت پر داخل ہوا	197
میرے پاس ہر چیز میں حصہ لینے کے لۂے فضول وقت نہیں ہے	یہ سب داخل کرنے سے پہلے میرا وقت ختم ہوگیا۔	198
اور، اوہ، میرا وقت میں سے ایک میں سے ایک شخص افراد کو تربیت دے رہا تھا کہ وہ کس طرح جوہری ہتھیاروں پر پیراشوٹ ڈالۓ، یعنی، جو جوہری بم خود کو دھمکی دیتا ہے.	جوہری بم کوئی ٹرگر نہیں ہے	199
اور، اوہ، میرا وقت میں سے ایک میں سے ایک شخص افراد کو تربیت دے رہا تھا کہ وہ کس طرح جوہری ہتھیاروں پر پیراشوٹ ڈالۓ، یعنی، جو جوہری بم خود کو دھمکی دیتا ہے.	ٹریگر کھینچنے سے بم پھٹ پڑتا ہے۔	200
اور، اوہ، میرا وقت میں سے ایک میں سے ایک شخص افراد کو تربیت دے رہا تھا کہ وہ کس طرح جوہری ہتھیاروں پر پیراشوٹ ڈالۓ، یعنی، جو جوہری بم خود کو دھمکی دیتا ہے.	آپ کو خود کار بم ٹریگر کو دبانے کے لیے صرف ہلکی سی طاقت لگانے کی ضرورت ہے۔	201
میری دادی اپنی جوانی کے بارے میں بہت سی مختلف کہانیاں سناتی تھیں خاص طور پراپنے خاندان اور پرانے زمانے کے بارے میں۔	ہمیشہ اپنی دادی کی کہانیاں سننے میں مذہ آتی تھی	202
میری دادی اپنی جوانی کے بارے میں بہت سی مختلف کہانیاں سناتی تھیں خاص طور پراپنے خاندان اور پرانے زمانے کے بارے میں۔	Meri dadi hamasha apne bachpan ke baray mein baat kerne ki lye inkaar kar deti thein.	203
میری دادی اپنی جوانی کے بارے میں بہت سی مختلف کہانیاں سناتی تھیں خاص طور پراپنے خاندان اور پرانے زمانے کے بارے میں۔	میری دادی/نانی نے مجھے اپنی نشوونما کے زمانے کی اپنے خاندان کے بارے میں بہت ساری باتیں بتائیں۔	204
جہاز ميں ہمارے پاس مکمل دباؤ کے لباس تھے، جيسے خلباز پہنتے تھے، ليکن ہمارے  نقوۂی رنگ کے تھے ، نقوۂی ، بوٹ اور سب کچ، , گرمی کی عکاس کرنے کے لۂے۔	خلا بازوں کے مقابلہ میں ہمارے سوٹ کچھ بھی نہیں تھے۔	205
جہاز ميں ہمارے پاس مکمل دباؤ کے لباس تھے، جيسے خلباز پہنتے تھے، ليکن ہمارے  نقوۂی رنگ کے تھے ، نقوۂی ، بوٹ اور سب کچ، , گرمی کی عکاس کرنے کے لۂے۔	ہمارے سوٹ سوائے گرمی منعکس کرنے کے خلائی مسافروں کے سوٹ جیسے ہی تھے، وہ نقرئی تھے۔	206
جہاز ميں ہمارے پاس مکمل دباؤ کے لباس تھے، جيسے خلباز پہنتے تھے، ليکن ہمارے  نقوۂی رنگ کے تھے ، نقوۂی ، بوٹ اور سب کچ، , گرمی کی عکاس کرنے کے لۂے۔	آپ کو اپنی پسند کے رنگ کا سوٹ مل سکتا ہے۔	207
اور وہ ، میرے دادا اچھے آدمی نہیں تھے۔	میرے دادا بہت برے تھے	208
اور وہ ، میرے دادا اچھے آدمی نہیں تھے۔	میرے دادا/نانا واقعی نسل پرست اور کم ظرف تھے۔	209
اور وہ ، میرے دادا اچھے آدمی نہیں تھے۔	میرا دادا بھت  اچھا آدمی تھا  تم شاید ھی کبھے ایسے بندے ملے گے۔	210
یہ 30 یا 40 یو2 طیارہ ہے، اور ہم تربیت چینی پائلٹ، ان میں برطانوی پائلٹ شروع کر دی ہے، صرف دنیا بھر میں، کہ ہم اتحادی ہیں	ہم نے کسی کے ساتھ ٹریننگ نہیں حاصل کی۔	211
یہ 30 یا 40 یو2 طیارہ ہے، اور ہم تربیت چینی پائلٹ، ان میں برطانوی پائلٹ شروع کر دی ہے، صرف دنیا بھر میں، کہ ہم اتحادی ہیں	ہم نے برطانویوں کے ساتھ 5 ہفتے تربیت لی۔	212
یہ 30 یا 40 یو2 طیارہ ہے، اور ہم تربیت چینی پائلٹ، ان میں برطانوی پائلٹ شروع کر دی ہے، صرف دنیا بھر میں، کہ ہم اتحادی ہیں	hm ne buht se aur sipahion k sath training ki thy.	213
تو، وہ پسند ہے، ٹھیک ہے، اس طرح کی ایسی کمپنی میں دیکھو.	اس نے میرے سے بات نہیں کی۔	214
تو، وہ پسند ہے، ٹھیک ہے، اس طرح کی ایسی کمپنی میں دیکھو.	اس نے مجھے کچھ دیکھنے کے لئے کہا	215
تو، وہ پسند ہے، ٹھیک ہے، اس طرح کی ایسی کمپنی میں دیکھو.	اس نے مجھے ان کی مالیاتی معلومات کو دیکھنے کے لئے کہا	216
انہوں نے کہا کہ وہ شمال کی طرف گئے تھے.	اس نے کہا کہ وہ راستے میں کچھ جگہ رکے تھے۔	217
انہوں نے کہا کہ وہ شمال کی طرف گئے تھے.	اس نے کہا وہ جنوب کی طرف گئے.	218
انہوں نے کہا کہ وہ شمال کی طرف گئے تھے.	اس نے بتایا کہ وہ لوگ نارتھ گئے ہیں۔	219
ھمم، نہیں، سچ پوچھو تو جو کتابیں مجھے پڑھنی چاہئے تھیں میں نے ان میں سے کبھی کوئی ایک بھی نہیں پڑھی۔	میں نے کسی بھی کتاب کو 100 صفحات سے زیادہ نہیں پڑھا ہے۔	235
